ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005634	nucleus	2033	169	Tb927.1.120,Tb927.1.1370,Tb927.1.1540,Tb927.1.1620,Tb927.1.1700,Tb927.1.2580,Tb927.1.2750,Tb927.1.3390,Tb927.1.3450,Tb927.1.540,Tb927.1.560,Tb927.1.880,Tb927.10.10010,Tb927.10.12430,Tb927.10.12980,Tb927.10.13180,Tb927.10.13270,Tb927.10.13310,Tb927.10.13710,Tb927.10.14170,Tb927.10.14330,Tb927.10.14680,Tb927.10.14870,Tb927.10.15170,Tb927.10.15180,Tb927.10.15370,Tb927.10.1560,Tb927.10.170,Tb927.10.1720,Tb927.10.1960,Tb927.10.2310,Tb927.10.2620,Tb927.10.2700,Tb927.10.3560,Tb927.10.3790,Tb927.10.3950,Tb927.10.5920,Tb927.10.6220,Tb927.10.6260,Tb927.10.6320,Tb927.10.6530,Tb927.10.6630,Tb927.10.6680,Tb927.10.7050,Tb927.10.7500,Tb927.10.7810,Tb927.10.880,Tb927.10.9020,Tb927.10.9130,Tb927.10.9200,Tb927.10.9780,Tb927.11.10420,Tb927.11.10480,Tb927.11.12760,Tb927.11.13930,Tb927.11.14310,Tb927.11.14710,Tb927.11.14830,Tb927.11.15370,Tb927.11.15430,Tb927.11.15460,Tb927.11.15630,Tb927.11.1790,Tb927.11.1800,Tb927.11.1900,Tb927.11.1990,Tb927.11.2000,Tb927.11.2100,Tb927.11.2120,Tb927.11.2300,Tb927.11.2510,Tb927.11.2640,Tb927.11.2940,Tb927.11.3070,Tb927.11.3840,Tb927.11.3890,Tb927.11.4190,Tb927.11.420,Tb927.11.4230,Tb927.11.460,Tb927.11.4980,Tb927.11.5170,Tb927.11.5250,Tb927.11.6790,Tb927.11.7840,Tb927.11.8050,Tb927.11.8270,Tb927.11.9080,Tb927.11.9210,Tb927.2.1330,Tb927.2.2950,Tb927.2.450,Tb927.2.4550,Tb927.2.470,Tb927.2.510,Tb927.2.560,Tb927.3.1350,Tb927.3.2750,Tb927.3.3510,Tb927.3.3590,Tb927.3.3970,Tb927.3.620,Tb927.4.2030,Tb927.4.2310,Tb927.4.2630,Tb927.4.3150,Tb927.4.3840,Tb927.4.3850,Tb927.4.4030,Tb927.4.4650,Tb927.4.4710,Tb927.5.1150,Tb927.5.2940,Tb927.5.3230,Tb927.5.3830,Tb927.5.4010,Tb927.5.4180,Tb927.5.4270,Tb927.5.4420,Tb927.5.840,Tb927.6.1900,Tb927.6.2650,Tb927.6.2780,Tb927.6.3210,Tb927.6.630,Tb927.6.670,Tb927.6.830,Tb927.7.2170,Tb927.7.270,Tb927.7.3380,Tb927.7.4220,Tb927.7.4820,Tb927.7.5760,Tb927.7.650,Tb927.7.700,Tb927.8.1260,Tb927.8.1270,Tb927.8.1410,Tb927.8.1510,Tb927.8.2000,Tb927.8.2570,Tb927.8.2600,Tb927.8.3750,Tb927.8.4290,Tb927.8.5040,Tb927.8.5090,Tb927.8.5490,Tb927.8.5670,Tb927.8.5820,Tb927.8.5990,Tb927.8.6750,Tb927.8.6770,Tb927.8.900,Tb927.9.10230,Tb927.9.10400,Tb927.9.10960,Tb927.9.13340,Tb927.9.1340,Tb927.9.13520,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2120,Tb927.9.2900,Tb927.9.5150,Tb927.9.5190,Tb927.9.6760,Tb927.9.7670,Tb927.9.8200,	8.3	2.16	3.92	7.27290848698e-30	1.12730081548e-27	1.12730081548e-27
GO:0043231	intracellular membrane-bounded organelle	3666	208	Tb927.1.120,Tb927.1.1370,Tb927.1.1540,Tb927.1.1620,Tb927.1.1700,Tb927.1.2580,Tb927.1.2750,Tb927.1.3390,Tb927.1.3450,Tb927.1.540,Tb927.1.560,Tb927.1.880,Tb927.10.10010,Tb927.10.11030,Tb927.10.12400,Tb927.10.12430,Tb927.10.12980,Tb927.10.13180,Tb927.10.13270,Tb927.10.13310,Tb927.10.1340,Tb927.10.13710,Tb927.10.14170,Tb927.10.14330,Tb927.10.14680,Tb927.10.14870,Tb927.10.15170,Tb927.10.15180,Tb927.10.15370,Tb927.10.1560,Tb927.10.16010,Tb927.10.170,Tb927.10.1720,Tb927.10.1960,Tb927.10.2310,Tb927.10.2620,Tb927.10.2700,Tb927.10.3560,Tb927.10.3770,Tb927.10.3790,Tb927.10.3950,Tb927.10.4330,Tb927.10.5660,Tb927.10.5920,Tb927.10.6220,Tb927.10.6260,Tb927.10.6320,Tb927.10.6530,Tb927.10.6630,Tb927.10.6680,Tb927.10.7050,Tb927.10.7500,Tb927.10.7810,Tb927.10.880,Tb927.10.8980,Tb927.10.9020,Tb927.10.9130,Tb927.10.9200,Tb927.10.9780,Tb927.11.10050,Tb927.11.10420,Tb927.11.10480,Tb927.11.11330,Tb927.11.11380,Tb927.11.1260,Tb927.11.12760,Tb927.11.13930,Tb927.11.14310,Tb927.11.14700,Tb927.11.14710,Tb927.11.14830,Tb927.11.14950,Tb927.11.15370,Tb927.11.15430,Tb927.11.15460,Tb927.11.15630,Tb927.11.15960,Tb927.11.1790,Tb927.11.1800,Tb927.11.1900,Tb927.11.1990,Tb927.11.2000,Tb927.11.2100,Tb927.11.2120,Tb927.11.2300,Tb927.11.2510,Tb927.11.2640,Tb927.11.2940,Tb927.11.3070,Tb927.11.3840,Tb927.11.3890,Tb927.11.4190,Tb927.11.420,Tb927.11.4230,Tb927.11.460,Tb927.11.4980,Tb927.11.5170,Tb927.11.5250,Tb927.11.5920,Tb927.11.6790,Tb927.11.7840,Tb927.11.8050,Tb927.11.8270,Tb927.11.9080,Tb927.11.9210,Tb927.11.9310,Tb927.2.1330,Tb927.2.2230,Tb927.2.2950,Tb927.2.2970,Tb927.2.450,Tb927.2.4550,Tb927.2.470,Tb927.2.4720,Tb927.2.510,Tb927.2.560,Tb927.3.1350,Tb927.3.2750,Tb927.3.3510,Tb927.3.3590,Tb927.3.3970,Tb927.3.620,Tb927.4.2030,Tb927.4.2040,Tb927.4.2310,Tb927.4.2560,Tb927.4.2630,Tb927.4.3150,Tb927.4.330,Tb927.4.3840,Tb927.4.3850,Tb927.4.4030,Tb927.4.4650,Tb927.4.4710,Tb927.4.4910,Tb927.5.1150,Tb927.5.2380,Tb927.5.2650,Tb927.5.2940,Tb927.5.3230,Tb927.5.3810,Tb927.5.3830,Tb927.5.4010,Tb927.5.4180,Tb927.5.4270,Tb927.5.4420,Tb927.5.840,Tb927.6.1900,Tb927.6.2170,Tb927.6.2420,Tb927.6.2650,Tb927.6.2780,Tb927.6.3210,Tb927.6.630,Tb927.6.670,Tb927.6.830,Tb927.7.2170,Tb927.7.270,Tb927.7.3380,Tb927.7.4220,Tb927.7.4820,Tb927.7.5480,Tb927.7.5760,Tb927.7.650,Tb927.7.700,Tb927.8.1260,Tb927.8.1270,Tb927.8.1410,Tb927.8.1510,Tb927.8.2000,Tb927.8.2500,Tb927.8.2570,Tb927.8.2600,Tb927.8.3300,Tb927.8.3750,Tb927.8.4290,Tb927.8.4380,Tb927.8.5040,Tb927.8.5090,Tb927.8.5100,Tb927.8.5490,Tb927.8.5670,Tb927.8.5820,Tb927.8.5990,Tb927.8.6750,Tb927.8.6770,Tb927.8.7460,Tb927.8.900,Tb927.9.10010,Tb927.9.10230,Tb927.9.10400,Tb927.9.10960,Tb927.9.13340,Tb927.9.1340,Tb927.9.13520,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2120,Tb927.9.2900,Tb927.9.5150,Tb927.9.5190,Tb927.9.6210,Tb927.9.6710,Tb927.9.6760,Tb927.9.7670,Tb927.9.8200,Tb927.9.8950,	5.7	1.48	2.66	1.08432438013e-15	8.40351394603e-14	1.68070278921e-13
GO:0043227	membrane-bounded organelle	3715	208	Tb927.1.120,Tb927.1.1370,Tb927.1.1540,Tb927.1.1620,Tb927.1.1700,Tb927.1.2580,Tb927.1.2750,Tb927.1.3390,Tb927.1.3450,Tb927.1.540,Tb927.1.560,Tb927.1.880,Tb927.10.10010,Tb927.10.11030,Tb927.10.12400,Tb927.10.12430,Tb927.10.12980,Tb927.10.13180,Tb927.10.13270,Tb927.10.13310,Tb927.10.1340,Tb927.10.13710,Tb927.10.14170,Tb927.10.14330,Tb927.10.14680,Tb927.10.14870,Tb927.10.15170,Tb927.10.15180,Tb927.10.15370,Tb927.10.1560,Tb927.10.16010,Tb927.10.170,Tb927.10.1720,Tb927.10.1960,Tb927.10.2310,Tb927.10.2620,Tb927.10.2700,Tb927.10.3560,Tb927.10.3770,Tb927.10.3790,Tb927.10.3950,Tb927.10.4330,Tb927.10.5660,Tb927.10.5920,Tb927.10.6220,Tb927.10.6260,Tb927.10.6320,Tb927.10.6530,Tb927.10.6630,Tb927.10.6680,Tb927.10.7050,Tb927.10.7500,Tb927.10.7810,Tb927.10.880,Tb927.10.8980,Tb927.10.9020,Tb927.10.9130,Tb927.10.9200,Tb927.10.9780,Tb927.11.10050,Tb927.11.10420,Tb927.11.10480,Tb927.11.11330,Tb927.11.11380,Tb927.11.1260,Tb927.11.12760,Tb927.11.13930,Tb927.11.14310,Tb927.11.14700,Tb927.11.14710,Tb927.11.14830,Tb927.11.14950,Tb927.11.15370,Tb927.11.15430,Tb927.11.15460,Tb927.11.15630,Tb927.11.15960,Tb927.11.1790,Tb927.11.1800,Tb927.11.1900,Tb927.11.1990,Tb927.11.2000,Tb927.11.2100,Tb927.11.2120,Tb927.11.2300,Tb927.11.2510,Tb927.11.2640,Tb927.11.2940,Tb927.11.3070,Tb927.11.3840,Tb927.11.3890,Tb927.11.4190,Tb927.11.420,Tb927.11.4230,Tb927.11.460,Tb927.11.4980,Tb927.11.5170,Tb927.11.5250,Tb927.11.5920,Tb927.11.6790,Tb927.11.7840,Tb927.11.8050,Tb927.11.8270,Tb927.11.9080,Tb927.11.9210,Tb927.11.9310,Tb927.2.1330,Tb927.2.2230,Tb927.2.2950,Tb927.2.2970,Tb927.2.450,Tb927.2.4550,Tb927.2.470,Tb927.2.4720,Tb927.2.510,Tb927.2.560,Tb927.3.1350,Tb927.3.2750,Tb927.3.3510,Tb927.3.3590,Tb927.3.3970,Tb927.3.620,Tb927.4.2030,Tb927.4.2040,Tb927.4.2310,Tb927.4.2560,Tb927.4.2630,Tb927.4.3150,Tb927.4.330,Tb927.4.3840,Tb927.4.3850,Tb927.4.4030,Tb927.4.4650,Tb927.4.4710,Tb927.4.4910,Tb927.5.1150,Tb927.5.2380,Tb927.5.2650,Tb927.5.2940,Tb927.5.3230,Tb927.5.3810,Tb927.5.3830,Tb927.5.4010,Tb927.5.4180,Tb927.5.4270,Tb927.5.4420,Tb927.5.840,Tb927.6.1900,Tb927.6.2170,Tb927.6.2420,Tb927.6.2650,Tb927.6.2780,Tb927.6.3210,Tb927.6.630,Tb927.6.670,Tb927.6.830,Tb927.7.2170,Tb927.7.270,Tb927.7.3380,Tb927.7.4220,Tb927.7.4820,Tb927.7.5480,Tb927.7.5760,Tb927.7.650,Tb927.7.700,Tb927.8.1260,Tb927.8.1270,Tb927.8.1410,Tb927.8.1510,Tb927.8.2000,Tb927.8.2500,Tb927.8.2570,Tb927.8.2600,Tb927.8.3300,Tb927.8.3750,Tb927.8.4290,Tb927.8.4380,Tb927.8.5040,Tb927.8.5090,Tb927.8.5100,Tb927.8.5490,Tb927.8.5670,Tb927.8.5820,Tb927.8.5990,Tb927.8.6750,Tb927.8.6770,Tb927.8.7460,Tb927.8.900,Tb927.9.10010,Tb927.9.10230,Tb927.9.10400,Tb927.9.10960,Tb927.9.13340,Tb927.9.1340,Tb927.9.13520,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2120,Tb927.9.2900,Tb927.9.5150,Tb927.9.5190,Tb927.9.6210,Tb927.9.6710,Tb927.9.6760,Tb927.9.7670,Tb927.9.8200,Tb927.9.8950,	5.6	1.46	2.59	6.27111205485e-15	3.24007456167e-13	9.72022368501e-13
GO:0030684	preribosome	12	10	Tb927.10.13270,Tb927.10.14330,Tb927.10.15380,Tb927.10.15810,Tb927.11.10480,Tb927.11.460,Tb927.2.2950,Tb927.3.3590,Tb927.8.3750,Tb927.8.5490,	83.3	21.68	129.38	3.74616630708e-13	1.45163944399e-11	5.80655777597e-11
GO:0005832	chaperonin-containing T-complex	8	8	Tb927.10.1060,Tb927.10.8190,Tb927.11.14250,Tb927.11.16760,Tb927.11.1900,Tb927.11.3240,Tb927.8.3150,Tb927.9.11270,	100.0	26.02	inf	4.35039785555e-12	1.34862333522e-10	6.7431166761e-10
GO:0101031	chaperone complex	9	8	Tb927.10.1060,Tb927.10.8190,Tb927.11.14250,Tb927.11.16760,Tb927.11.1900,Tb927.11.3240,Tb927.8.3150,Tb927.9.11270,	88.9	23.13	205.61	3.78503087644e-11	9.77799643079e-10	5.86679785848e-09
GO:0032040	small-subunit processome	10	8	Tb927.10.13270,Tb927.10.14330,Tb927.10.15380,Tb927.10.15810,Tb927.11.10480,Tb927.11.460,Tb927.2.2950,Tb927.8.3750,	80.0	20.81	102.79	1.82954073453e-10	4.05112591217e-09	2.83578813852e-08
GO:0044424	intracellular part	5842	264	Tb927.1.120,Tb927.1.1270,Tb927.1.1370,Tb927.1.1540,Tb927.1.1620,Tb927.1.1700,Tb927.1.2580,Tb927.1.2670,Tb927.1.2750,Tb927.1.3390,Tb927.1.3450,Tb927.1.540,Tb927.1.560,Tb927.1.880,Tb927.10.10010,Tb927.10.10200,Tb927.10.1060,Tb927.10.11030,Tb927.10.11380,Tb927.10.12330,Tb927.10.12400,Tb927.10.12430,Tb927.10.12710,Tb927.10.12980,Tb927.10.13180,Tb927.10.13270,Tb927.10.13310,Tb927.10.1340,Tb927.10.13710,Tb927.10.13730,Tb927.10.14170,Tb927.10.14330,Tb927.10.14680,Tb927.10.14790,Tb927.10.14870,Tb927.10.14920,Tb927.10.15170,Tb927.10.15180,Tb927.10.15370,Tb927.10.1560,Tb927.10.16010,Tb927.10.170,Tb927.10.1720,Tb927.10.1960,Tb927.10.2240,Tb927.10.2310,Tb927.10.2620,Tb927.10.2700,Tb927.10.3560,Tb927.10.3770,Tb927.10.3790,Tb927.10.3950,Tb927.10.4330,Tb927.10.4640,Tb927.10.5660,Tb927.10.5670,Tb927.10.5920,Tb927.10.6220,Tb927.10.6260,Tb927.10.6320,Tb927.10.6530,Tb927.10.6630,Tb927.10.6680,Tb927.10.7050,Tb927.10.7500,Tb927.10.7710,Tb927.10.7810,Tb927.10.8190,Tb927.10.880,Tb927.10.8980,Tb927.10.9020,Tb927.10.9130,Tb927.10.9200,Tb927.10.9780,Tb927.11.10050,Tb927.11.10420,Tb927.11.10480,Tb927.11.11330,Tb927.11.11380,Tb927.11.1260,Tb927.11.12760,Tb927.11.13930,Tb927.11.14250,Tb927.11.14310,Tb927.11.14700,Tb927.11.14710,Tb927.11.14830,Tb927.11.14950,Tb927.11.15370,Tb927.11.15420,Tb927.11.15430,Tb927.11.15460,Tb927.11.15630,Tb927.11.15830,Tb927.11.15940,Tb927.11.15960,Tb927.11.16760,Tb927.11.1790,Tb927.11.1800,Tb927.11.1900,Tb927.11.1990,Tb927.11.2000,Tb927.11.2100,Tb927.11.2120,Tb927.11.2300,Tb927.11.2510,Tb927.11.2630,Tb927.11.2640,Tb927.11.2940,Tb927.11.3070,Tb927.11.3240,Tb927.11.3730,Tb927.11.3840,Tb927.11.3890,Tb927.11.4190,Tb927.11.420,Tb927.11.4230,Tb927.11.4530,Tb927.11.460,Tb927.11.4980,Tb927.11.5170,Tb927.11.5250,Tb927.11.5840,Tb927.11.5920,Tb927.11.6680,Tb927.11.6790,Tb927.11.7840,Tb927.11.8050,Tb927.11.8270,Tb927.11.9080,Tb927.11.9210,Tb927.11.9310,Tb927.11.9610,Tb927.11.9640,Tb927.2.1330,Tb927.2.2230,Tb927.2.2950,Tb927.2.2970,Tb927.2.3780,Tb927.2.450,Tb927.2.4550,Tb927.2.470,Tb927.2.4720,Tb927.2.5000,Tb927.2.510,Tb927.2.5160,Tb927.2.560,Tb927.3.1350,Tb927.3.2680,Tb927.3.2750,Tb927.3.2900,Tb927.3.3510,Tb927.3.3590,Tb927.3.3970,Tb927.3.5340,Tb927.3.620,Tb927.4.1900,Tb927.4.2030,Tb927.4.2040,Tb927.4.2310,Tb927.4.2560,Tb927.4.2630,Tb927.4.3150,Tb927.4.330,Tb927.4.3840,Tb927.4.3850,Tb927.4.4030,Tb927.4.4650,Tb927.4.4710,Tb927.4.4910,Tb927.4.5100,Tb927.5.1150,Tb927.5.1460,Tb927.5.2320,Tb927.5.2380,Tb927.5.2520,Tb927.5.2570,Tb927.5.2650,Tb927.5.2940,Tb927.5.3230,Tb927.5.3810,Tb927.5.3830,Tb927.5.4010,Tb927.5.4180,Tb927.5.4270,Tb927.5.4420,Tb927.5.840,Tb927.6.1900,Tb927.6.2170,Tb927.6.2420,Tb927.6.2650,Tb927.6.2780,Tb927.6.2890,Tb927.6.3210,Tb927.6.4370,Tb927.6.630,Tb927.6.670,Tb927.6.830,Tb927.7.2170,Tb927.7.270,Tb927.7.3380,Tb927.7.3410,Tb927.7.4220,Tb927.7.4820,Tb927.7.5480,Tb927.7.5760,Tb927.7.6090,Tb927.7.650,Tb927.7.700,Tb927.7.7050,Tb927.7.970,Tb927.8.1260,Tb927.8.1270,Tb927.8.1410,Tb927.8.1510,Tb927.8.1600,Tb927.8.1750,Tb927.8.2000,Tb927.8.2140,Tb927.8.2500,Tb927.8.2570,Tb927.8.2600,Tb927.8.3150,Tb927.8.3300,Tb927.8.3750,Tb927.8.3850,Tb927.8.4290,Tb927.8.4380,Tb927.8.5040,Tb927.8.5090,Tb927.8.5100,Tb927.8.5490,Tb927.8.5670,Tb927.8.5820,Tb927.8.5990,Tb927.8.6750,Tb927.8.6770,Tb927.8.7460,Tb927.8.8290,Tb927.8.900,Tb927.9.10010,Tb927.9.10230,Tb927.9.10400,Tb927.9.10710,Tb927.9.10960,Tb927.9.11270,Tb927.9.13340,Tb927.9.1340,Tb927.9.13520,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2120,Tb927.9.2900,Tb927.9.5150,Tb927.9.5190,Tb927.9.6210,Tb927.9.6430,Tb927.9.6710,Tb927.9.6760,Tb927.9.7250,Tb927.9.7670,Tb927.9.8200,Tb927.9.8950,	4.5	1.18	2.57	5.52873334074e-09	1.07119208477e-07	8.56953667815e-07
GO:0005622	intracellular	5856	264	Tb927.1.120,Tb927.1.1270,Tb927.1.1370,Tb927.1.1540,Tb927.1.1620,Tb927.1.1700,Tb927.1.2580,Tb927.1.2670,Tb927.1.2750,Tb927.1.3390,Tb927.1.3450,Tb927.1.540,Tb927.1.560,Tb927.1.880,Tb927.10.10010,Tb927.10.10200,Tb927.10.1060,Tb927.10.11030,Tb927.10.11380,Tb927.10.12330,Tb927.10.12400,Tb927.10.12430,Tb927.10.12710,Tb927.10.12980,Tb927.10.13180,Tb927.10.13270,Tb927.10.13310,Tb927.10.1340,Tb927.10.13710,Tb927.10.13730,Tb927.10.14170,Tb927.10.14330,Tb927.10.14680,Tb927.10.14790,Tb927.10.14870,Tb927.10.14920,Tb927.10.15170,Tb927.10.15180,Tb927.10.15370,Tb927.10.1560,Tb927.10.16010,Tb927.10.170,Tb927.10.1720,Tb927.10.1960,Tb927.10.2240,Tb927.10.2310,Tb927.10.2620,Tb927.10.2700,Tb927.10.3560,Tb927.10.3770,Tb927.10.3790,Tb927.10.3950,Tb927.10.4330,Tb927.10.4640,Tb927.10.5660,Tb927.10.5670,Tb927.10.5920,Tb927.10.6220,Tb927.10.6260,Tb927.10.6320,Tb927.10.6530,Tb927.10.6630,Tb927.10.6680,Tb927.10.7050,Tb927.10.7500,Tb927.10.7710,Tb927.10.7810,Tb927.10.8190,Tb927.10.880,Tb927.10.8980,Tb927.10.9020,Tb927.10.9130,Tb927.10.9200,Tb927.10.9780,Tb927.11.10050,Tb927.11.10420,Tb927.11.10480,Tb927.11.11330,Tb927.11.11380,Tb927.11.1260,Tb927.11.12760,Tb927.11.13930,Tb927.11.14250,Tb927.11.14310,Tb927.11.14700,Tb927.11.14710,Tb927.11.14830,Tb927.11.14950,Tb927.11.15370,Tb927.11.15420,Tb927.11.15430,Tb927.11.15460,Tb927.11.15630,Tb927.11.15830,Tb927.11.15940,Tb927.11.15960,Tb927.11.16760,Tb927.11.1790,Tb927.11.1800,Tb927.11.1900,Tb927.11.1990,Tb927.11.2000,Tb927.11.2100,Tb927.11.2120,Tb927.11.2300,Tb927.11.2510,Tb927.11.2630,Tb927.11.2640,Tb927.11.2940,Tb927.11.3070,Tb927.11.3240,Tb927.11.3730,Tb927.11.3840,Tb927.11.3890,Tb927.11.4190,Tb927.11.420,Tb927.11.4230,Tb927.11.4530,Tb927.11.460,Tb927.11.4980,Tb927.11.5170,Tb927.11.5250,Tb927.11.5840,Tb927.11.5920,Tb927.11.6680,Tb927.11.6790,Tb927.11.7840,Tb927.11.8050,Tb927.11.8270,Tb927.11.9080,Tb927.11.9210,Tb927.11.9310,Tb927.11.9610,Tb927.11.9640,Tb927.2.1330,Tb927.2.2230,Tb927.2.2950,Tb927.2.2970,Tb927.2.3780,Tb927.2.450,Tb927.2.4550,Tb927.2.470,Tb927.2.4720,Tb927.2.5000,Tb927.2.510,Tb927.2.5160,Tb927.2.560,Tb927.3.1350,Tb927.3.2680,Tb927.3.2750,Tb927.3.2900,Tb927.3.3510,Tb927.3.3590,Tb927.3.3970,Tb927.3.5340,Tb927.3.620,Tb927.4.1900,Tb927.4.2030,Tb927.4.2040,Tb927.4.2310,Tb927.4.2560,Tb927.4.2630,Tb927.4.3150,Tb927.4.330,Tb927.4.3840,Tb927.4.3850,Tb927.4.4030,Tb927.4.4650,Tb927.4.4710,Tb927.4.4910,Tb927.4.5100,Tb927.5.1150,Tb927.5.1460,Tb927.5.2320,Tb927.5.2380,Tb927.5.2520,Tb927.5.2570,Tb927.5.2650,Tb927.5.2940,Tb927.5.3230,Tb927.5.3810,Tb927.5.3830,Tb927.5.4010,Tb927.5.4180,Tb927.5.4270,Tb927.5.4420,Tb927.5.840,Tb927.6.1900,Tb927.6.2170,Tb927.6.2420,Tb927.6.2650,Tb927.6.2780,Tb927.6.2890,Tb927.6.3210,Tb927.6.4370,Tb927.6.630,Tb927.6.670,Tb927.6.830,Tb927.7.2170,Tb927.7.270,Tb927.7.3380,Tb927.7.3410,Tb927.7.4220,Tb927.7.4820,Tb927.7.5480,Tb927.7.5760,Tb927.7.6090,Tb927.7.650,Tb927.7.700,Tb927.7.7050,Tb927.7.970,Tb927.8.1260,Tb927.8.1270,Tb927.8.1410,Tb927.8.1510,Tb927.8.1600,Tb927.8.1750,Tb927.8.2000,Tb927.8.2140,Tb927.8.2500,Tb927.8.2570,Tb927.8.2600,Tb927.8.3150,Tb927.8.3300,Tb927.8.3750,Tb927.8.3850,Tb927.8.4290,Tb927.8.4380,Tb927.8.5040,Tb927.8.5090,Tb927.8.5100,Tb927.8.5490,Tb927.8.5670,Tb927.8.5820,Tb927.8.5990,Tb927.8.6750,Tb927.8.6770,Tb927.8.7460,Tb927.8.8290,Tb927.8.900,Tb927.9.10010,Tb927.9.10230,Tb927.9.10400,Tb927.9.10710,Tb927.9.10960,Tb927.9.11270,Tb927.9.13340,Tb927.9.1340,Tb927.9.13520,Tb927.9.14410,Tb927.9.15060,Tb927.9.15330,Tb927.9.2120,Tb927.9.2900,Tb927.9.5150,Tb927.9.5190,Tb927.9.6210,Tb927.9.6430,Tb927.9.6710,Tb927.9.6760,Tb927.9.7250,Tb927.9.7670,Tb927.9.8200,Tb927.9.8950,	4.5	1.17	2.55	8.21757347632e-09	1.41524876537e-07	1.27372388883e-06
GO:0044445	cytosolic part	20	9	Tb927.10.1060,Tb927.10.8190,Tb927.11.14250,Tb927.11.16760,Tb927.11.1900,Tb927.11.3240,Tb927.11.7840,Tb927.8.3150,Tb927.9.11270,	45.0	11.71	21.07	1.87984753981e-08	2.91376368671e-07	2.91376368671e-06
