"","x"
"1","Tb11.02.5400"
"2","Tb11.02.5400"
"3","Tb11.02.5400"
"4","Tb11.02.5400"
"5","Tb927.1.1140"
"6","Tb927.1.1140"
"7","Tb927.1.1140"
"8","Tb927.1.1140"
"9","Tb927.1.3200"
"10","Tb927.1.3200"
"11","Tb927.1.3200"
"12","Tb927.1.3200"
"13","Tb927.10.11170"
"14","Tb927.10.11170"
"15","Tb927.10.11170"
"16","Tb927.10.11170"
"17","Tb927.10.1220"
"18","Tb927.10.1220"
"19","Tb927.10.1220"
"20","Tb927.10.1220"
"21","Tb927.10.12260"
"22","Tb927.10.12260"
"23","Tb927.10.12260"
"24","Tb927.10.12260"
"25","Tb927.10.12340"
"26","Tb927.10.12340"
"27","Tb927.10.12340"
"28","Tb927.10.12340"
"29","Tb927.10.12370"
"30","Tb927.10.12370"
"31","Tb927.10.12370"
"32","Tb927.10.12370"
"33","Tb927.10.12500"
"34","Tb927.10.12500"
"35","Tb927.10.12500"
"36","Tb927.10.12500"
"37","Tb927.10.13280"
"38","Tb927.10.13280"
"39","Tb927.10.13280"
"40","Tb927.10.13280"
"41","Tb927.10.1420"
"42","Tb927.10.1420"
"43","Tb927.10.1420"
"44","Tb927.10.1420"
"45","Tb927.10.15270"
"46","Tb927.10.15270"
"47","Tb927.10.15270"
"48","Tb927.10.15270"
"49","Tb927.10.15520"
"50","Tb927.10.15520"
"51","Tb927.10.15520"
"52","Tb927.10.15520"
"53","Tb927.10.16120"
"54","Tb927.10.16120"
"55","Tb927.10.16120"
"56","Tb927.10.16120"
"57","Tb927.10.2060"
"58","Tb927.10.2060"
"59","Tb927.10.2060"
"60","Tb927.10.2060"
"61","Tb927.10.2530"
"62","Tb927.10.2530"
"63","Tb927.10.2530"
"64","Tb927.10.2530"
"65","Tb927.10.2770"
"66","Tb927.10.2770"
"67","Tb927.10.2770"
"68","Tb927.10.2770"
"69","Tb927.10.2780"
"70","Tb927.10.2780"
"71","Tb927.10.2780"
"72","Tb927.10.2780"
"73","Tb927.10.3210"
"74","Tb927.10.3210"
"75","Tb927.10.3210"
"76","Tb927.10.3210"
"77","Tb927.10.3540"
"78","Tb927.10.3540"
"79","Tb927.10.3540"
"80","Tb927.10.3540"
"81","Tb927.10.3810"
"82","Tb927.10.3810"
"83","Tb927.10.3810"
"84","Tb927.10.3810"
"85","Tb927.10.3990"
"86","Tb927.10.3990"
"87","Tb927.10.3990"
"88","Tb927.10.3990"
"89","Tb927.10.4310"
"90","Tb927.10.4310"
"91","Tb927.10.4310"
"92","Tb927.10.4310"
"93","Tb927.10.4560"
"94","Tb927.10.4560"
"95","Tb927.10.4560"
"96","Tb927.10.4560"
"97","Tb927.10.4570"
"98","Tb927.10.4570"
"99","Tb927.10.4570"
"100","Tb927.10.4570"
"101","Tb927.10.540"
"102","Tb927.10.540"
"103","Tb927.10.540"
"104","Tb927.10.540"
"105","Tb927.10.5840"
"106","Tb927.10.5840"
"107","Tb927.10.5840"
"108","Tb927.10.5840"
"109","Tb927.10.6400"
"110","Tb927.10.6400"
"111","Tb927.10.6400"
"112","Tb927.10.6400"
"113","Tb927.10.7100"
"114","Tb927.10.7100"
"115","Tb927.10.7100"
"116","Tb927.10.7100"
"117","Tb927.10.7410"
"118","Tb927.10.7410"
"119","Tb927.10.7410"
"120","Tb927.10.7410"
"121","Tb927.10.7680"
"122","Tb927.10.7680"
"123","Tb927.10.7680"
"124","Tb927.10.7680"
"125","Tb927.10.8020"
"126","Tb927.10.8020"
"127","Tb927.10.8020"
"128","Tb927.10.8020"
"129","Tb927.10.8120"
"130","Tb927.10.8120"
"131","Tb927.10.8120"
"132","Tb927.10.8120"
"133","Tb927.10.8230"
"134","Tb927.10.8230"
"135","Tb927.10.8230"
"136","Tb927.10.8230"
"137","Tb927.11.10240"
"138","Tb927.11.10240"
"139","Tb927.11.10240"
"140","Tb927.11.10240"
"141","Tb927.11.1030"
"142","Tb927.11.1030"
"143","Tb927.11.1030"
"144","Tb927.11.1030"
"145","Tb927.11.10370"
"146","Tb927.11.10370"
"147","Tb927.11.10370"
"148","Tb927.11.10370"
"149","Tb927.11.10990"
"150","Tb927.11.10990"
"151","Tb927.11.10990"
"152","Tb927.11.10990"
"153","Tb927.11.11290"
"154","Tb927.11.11290"
"155","Tb927.11.11290"
"156","Tb927.11.11290"
"157","Tb927.11.11590"
"158","Tb927.11.11590"
"159","Tb927.11.11590"
"160","Tb927.11.11590"
"161","Tb927.11.11770"
"162","Tb927.11.11770"
"163","Tb927.11.11770"
"164","Tb927.11.11770"
"165","Tb927.11.11950"
"166","Tb927.11.11950"
"167","Tb927.11.11950"
"168","Tb927.11.11950"
"169","Tb927.11.12850"
"170","Tb927.11.12850"
"171","Tb927.11.12850"
"172","Tb927.11.12850"
"173","Tb927.11.13020"
"174","Tb927.11.13020"
"175","Tb927.11.13020"
"176","Tb927.11.13020"
"177","Tb927.11.13190"
"178","Tb927.11.13190"
"179","Tb927.11.13190"
"180","Tb927.11.13190"
"181","Tb927.11.13360"
"182","Tb927.11.13360"
"183","Tb927.11.13360"
"184","Tb927.11.13360"
