"","x"
"1","Tb10_snoRNA_0055:snoRNA"
"2","Tb10_snoRNA_0055:snoRNA"
"3","Tb10_snoRNA_0055:snoRNA"
"4","Tb10_snoRNA_0055:snoRNA"
"5","Tb927.1.1100"
"6","Tb927.1.1100"
"7","Tb927.1.1100"
"8","Tb927.1.1100"
"9","Tb927.1.2150"
"10","Tb927.1.2150"
"11","Tb927.1.2150"
"12","Tb927.1.2150"
"13","Tb927.1.2160"
"14","Tb927.1.2160"
"15","Tb927.1.2160"
"16","Tb927.1.2160"
"17","Tb927.1.2170"
"18","Tb927.1.2170"
"19","Tb927.1.2170"
"20","Tb927.1.2170"
"21","Tb927.1.2180"
"22","Tb927.1.2180"
"23","Tb927.1.2180"
"24","Tb927.1.2180"
"25","Tb927.1.2640"
"26","Tb927.1.2640"
"27","Tb927.1.2640"
"28","Tb927.1.2640"
"29","Tb927.1.3080"
"30","Tb927.1.3080"
"31","Tb927.1.3080"
"32","Tb927.1.3080"
"33","Tb927.1.4210"
"34","Tb927.1.4210"
"35","Tb927.1.4210"
"36","Tb927.1.4210"
"37","Tb927.1.4600"
"38","Tb927.1.4600"
"39","Tb927.1.4600"
"40","Tb927.1.4600"
"41","Tb927.1.5050"
"42","Tb927.1.5050"
"43","Tb927.1.5050"
"44","Tb927.1.5050"
"45","Tb927.1.580"
"46","Tb927.1.580"
"47","Tb927.1.580"
"48","Tb927.1.580"
"49","Tb927.1.600"
"50","Tb927.1.600"
"51","Tb927.1.600"
"52","Tb927.1.600"
"53","Tb927.1.680"
"54","Tb927.1.680"
"55","Tb927.1.680"
"56","Tb927.1.680"
"57","Tb927.1.800"
"58","Tb927.1.800"
"59","Tb927.1.800"
"60","Tb927.1.800"
"61","Tb927.10.11200"
"62","Tb927.10.11200"
"63","Tb927.10.11200"
"64","Tb927.10.11200"
"65","Tb927.10.11770"
"66","Tb927.10.11770"
"67","Tb927.10.11770"
"68","Tb927.10.11770"
"69","Tb927.10.11980"
"70","Tb927.10.11980"
"71","Tb927.10.11980"
"72","Tb927.10.11980"
"73","Tb927.10.12780"
"74","Tb927.10.12780"
"75","Tb927.10.12780"
"76","Tb927.10.12780"
"77","Tb927.10.13140"
"78","Tb927.10.13140"
"79","Tb927.10.13140"
"80","Tb927.10.13140"
"81","Tb927.10.13340"
"82","Tb927.10.13340"
"83","Tb927.10.13340"
"84","Tb927.10.13340"
"85","Tb927.10.13390"
"86","Tb927.10.13390"
"87","Tb927.10.13390"
"88","Tb927.10.13390"
"89","Tb927.10.13410"
"90","Tb927.10.13410"
"91","Tb927.10.13410"
"92","Tb927.10.13410"
"93","Tb927.10.13480"
"94","Tb927.10.13480"
"95","Tb927.10.13480"
"96","Tb927.10.13480"
"97","Tb927.10.13500"
"98","Tb927.10.13500"
"99","Tb927.10.13500"
"100","Tb927.10.13500"
"101","Tb927.10.13530"
"102","Tb927.10.13530"
"103","Tb927.10.13530"
"104","Tb927.10.13530"
"105","Tb927.10.13690"
"106","Tb927.10.13690"
"107","Tb927.10.13690"
"108","Tb927.10.13690"
"109","Tb927.10.13700"
"110","Tb927.10.13700"
"111","Tb927.10.13700"
"112","Tb927.10.13700"
"113","Tb927.10.13820"
"114","Tb927.10.13820"
"115","Tb927.10.13820"
"116","Tb927.10.13820"
"117","Tb927.10.13910"
"118","Tb927.10.13910"
"119","Tb927.10.13910"
"120","Tb927.10.13910"
"121","Tb927.10.14120"
"122","Tb927.10.14120"
"123","Tb927.10.14120"
"124","Tb927.10.14120"
"125","Tb927.10.14130"
"126","Tb927.10.14130"
"127","Tb927.10.14130"
"128","Tb927.10.14130"
"129","Tb927.10.14220"
"130","Tb927.10.14220"
"131","Tb927.10.14220"
"132","Tb927.10.14220"
"133","Tb927.10.14290"
"134","Tb927.10.14290"
"135","Tb927.10.14290"
"136","Tb927.10.14290"
"137","Tb927.10.14600"
"138","Tb927.10.14600"
"139","Tb927.10.14600"
"140","Tb927.10.14600"
"141","Tb927.10.15410"
"142","Tb927.10.15410"
"143","Tb927.10.15410"
"144","Tb927.10.15410"
"145","Tb927.10.1640"
"146","Tb927.10.1640"
"147","Tb927.10.1640"
"148","Tb927.10.1640"
"149","Tb927.10.1760"
"150","Tb927.10.1760"
"151","Tb927.10.1760"
"152","Tb927.10.1760"
"153","Tb927.10.2120"
"154","Tb927.10.2120"
"155","Tb927.10.2120"
"156","Tb927.10.2120"
"157","Tb927.10.2160"
"158","Tb927.10.2160"
"159","Tb927.10.2160"
"160","Tb927.10.2160"
"161","Tb927.10.2170"
"162","Tb927.10.2170"
"163","Tb927.10.2170"
"164","Tb927.10.2170"
"165","Tb927.10.2420"
"166","Tb927.10.2420"
"167","Tb927.10.2420"
"168","Tb927.10.2420"
"169","Tb927.10.2430"
"170","Tb927.10.2430"
"171","Tb927.10.2430"
"172","Tb927.10.2430"
"173","Tb927.10.2870"
"174","Tb927.10.2870"
"175","Tb927.10.2870"
"176","Tb927.10.2870"
"177","Tb927.10.2980"
"178","Tb927.10.2980"
"179","Tb927.10.2980"
"180","Tb927.10.2980"
"181","Tb927.10.300"
"182","Tb927.10.300"
"183","Tb927.10.300"
"184","Tb927.10.300"
"185","Tb927.10.3380"
"186","Tb927.10.3380"
"187","Tb927.10.3380"
"188","Tb927.10.3380"
"189","Tb927.10.3530"
"190","Tb927.10.3530"
"191","Tb927.10.3530"
"192","Tb927.10.3530"
"193","Tb927.10.370"
"194","Tb927.10.370"
"195","Tb927.10.370"
"196","Tb927.10.370"
"197","Tb927.10.3830"
"198","Tb927.10.3830"
"199","Tb927.10.3830"
"200","Tb927.10.3830"
"201","Tb927.10.5000"
"202","Tb927.10.5000"
"203","Tb927.10.5000"
"204","Tb927.10.5000"
"205","Tb927.10.5370"
