"","x"
"1","Tb927.1.1450"
"2","Tb927.1.1450"
"3","Tb927.1.1450"
"4","Tb927.1.1450"
"5","Tb927.1.1570"
"6","Tb927.1.1570"
"7","Tb927.1.1570"
"8","Tb927.1.1570"
"9","Tb927.1.1780"
"10","Tb927.1.1780"
"11","Tb927.1.1780"
"12","Tb927.1.1780"
"13","Tb927.1.1830"
"14","Tb927.1.1830"
"15","Tb927.1.1830"
"16","Tb927.1.1830"
"17","Tb927.1.2250"
"18","Tb927.1.2250"
"19","Tb927.1.2250"
"20","Tb927.1.2250"
"21","Tb927.1.2280"
"22","Tb927.1.2280"
"23","Tb927.1.2280"
"24","Tb927.1.2280"
"25","Tb927.1.3160"
"26","Tb927.1.3160"
"27","Tb927.1.3160"
"28","Tb927.1.3160"
"29","Tb927.1.3510"
"30","Tb927.1.3510"
"31","Tb927.1.3510"
"32","Tb927.1.3510"
"33","Tb927.1.3520"
"34","Tb927.1.3520"
"35","Tb927.1.3520"
"36","Tb927.1.3520"
"37","Tb927.1.3530"
"38","Tb927.1.3530"
"39","Tb927.1.3530"
"40","Tb927.1.3530"
"41","Tb927.1.3630"
"42","Tb927.1.3630"
"43","Tb927.1.3630"
"44","Tb927.1.3630"
"45","Tb927.1.3900"
"46","Tb927.1.3900"
"47","Tb927.1.3900"
"48","Tb927.1.3900"
"49","Tb927.1.3930"
"50","Tb927.1.3930"
"51","Tb927.1.3930"
"52","Tb927.1.3930"
"53","Tb927.1.3980"
"54","Tb927.1.3980"
"55","Tb927.1.3980"
"56","Tb927.1.3980"
"57","Tb927.1.4090"
"58","Tb927.1.4090"
"59","Tb927.1.4090"
"60","Tb927.1.4090"
"61","Tb927.1.4120"
"62","Tb927.1.4120"
"63","Tb927.1.4120"
"64","Tb927.1.4120"
"65","Tb927.1.4130"
"66","Tb927.1.4130"
"67","Tb927.1.4130"
"68","Tb927.1.4130"
"69","Tb927.1.4350"
"70","Tb927.1.4350"
"71","Tb927.1.4350"
"72","Tb927.1.4350"
"73","Tb927.1.4460"
"74","Tb927.1.4460"
"75","Tb927.1.4460"
"76","Tb927.1.4460"
"77","Tb927.1.4710"
"78","Tb927.1.4710"
"79","Tb927.1.4710"
"80","Tb927.1.4710"
"81","Tb927.1.4750"
"82","Tb927.1.4750"
"83","Tb927.1.4750"
"84","Tb927.1.4750"
"85","Tb927.1.550"
"86","Tb927.1.550"
"87","Tb927.1.550"
"88","Tb927.1.550"
"89","Tb927.1.590"
"90","Tb927.1.590"
"91","Tb927.1.590"
"92","Tb927.1.590"
"93","Tb927.1.770"
"94","Tb927.1.770"
"95","Tb927.1.770"
"96","Tb927.1.770"
"97","Tb927.10.10040"
"98","Tb927.10.10040"
"99","Tb927.10.10040"
"100","Tb927.10.10040"
"101","Tb927.10.11790"
"102","Tb927.10.11790"
"103","Tb927.10.11790"
"104","Tb927.10.11790"
"105","Tb927.10.12540"
"106","Tb927.10.12540"
"107","Tb927.10.12540"
"108","Tb927.10.12540"
"109","Tb927.10.12730"
"110","Tb927.10.12730"
"111","Tb927.10.12730"
"112","Tb927.10.12730"
"113","Tb927.10.12750"
"114","Tb927.10.12750"
"115","Tb927.10.12750"
"116","Tb927.10.12750"
"117","Tb927.10.12760"
"118","Tb927.10.12760"
"119","Tb927.10.12760"
"120","Tb927.10.12760"
"121","Tb927.10.12770"
"122","Tb927.10.12770"
"123","Tb927.10.12770"
"124","Tb927.10.12770"
"125","Tb927.10.150"
"126","Tb927.10.150"
"127","Tb927.10.150"
"128","Tb927.10.150"
"129","Tb927.10.2010"
"130","Tb927.10.2010"
"131","Tb927.10.2010"
"132","Tb927.10.2010"
"133","Tb927.10.2400"
"134","Tb927.10.2400"
"135","Tb927.10.2400"
"136","Tb927.10.2400"
"137","Tb927.10.280"
"138","Tb927.10.280"
"139","Tb927.10.280"
"140","Tb927.10.280"
"141","Tb927.10.2970"
"142","Tb927.10.2970"
"143","Tb927.10.2970"
"144","Tb927.10.2970"
"145","Tb927.10.3190"
"146","Tb927.10.3190"
"147","Tb927.10.3190"
"148","Tb927.10.3190"
"149","Tb927.10.3660"
"150","Tb927.10.3660"
"151","Tb927.10.3660"
"152","Tb927.10.3660"
"153","Tb927.10.3960"
"154","Tb927.10.3960"
"155","Tb927.10.3960"
"156","Tb927.10.3960"
"157","Tb927.10.4370"
"158","Tb927.10.4370"
"159","Tb927.10.4370"
"160","Tb927.10.4370"
"161","Tb927.10.490"
"162","Tb927.10.490"
"163","Tb927.10.490"
"164","Tb927.10.490"
"165","Tb927.10.6200"
"166","Tb927.10.6200"
"167","Tb927.10.6200"
"168","Tb927.10.6200"
"169","Tb927.10.7910"
"170","Tb927.10.7910"
"171","Tb927.10.7910"
"172","Tb927.10.7910"
"173","Tb927.10.8470"
"174","Tb927.10.8470"
"175","Tb927.10.8470"
"176","Tb927.10.8470"
"177","Tb927.10.9030"
"178","Tb927.10.9030"
"179","Tb927.10.9030"
"180","Tb927.10.9030"
"181","Tb927.11.10680"
"182","Tb927.11.10680"
"183","Tb927.11.10680"
"184","Tb927.11.10680"
"185","Tb927.11.12040"
"186","Tb927.11.12040"
"187","Tb927.11.12040"
"188","Tb927.11.12040"
"189","Tb927.11.12130"
"190","Tb927.11.12130"
"191","Tb927.11.12130"
"192","Tb927.11.12130"
"193","Tb927.11.12140"
"194","Tb927.11.12140"
"195","Tb927.11.12140"
"196","Tb927.11.12140"
"197","Tb927.11.15880"
"198","Tb927.11.15880"
"199","Tb927.11.15880"
"200","Tb927.11.15880"
"201","Tb927.11.16190"
"202","Tb927.11.16190"
"203","Tb927.11.16190"
"204","Tb927.11.16190"
"205","Tb927.11.17870"
"206","Tb927.11.17870"
"207","Tb927.11.17870"
"208","Tb927.11.17870"
"209","Tb927.11.3610"
"210","Tb927.11.3610"
"211","Tb927.11.3610"
"212","Tb927.11.3610"
"213","Tb927.11.3620"
"214","Tb927.11.3620"
"215","Tb927.11.3620"
"216","Tb927.11.3620"
"217","Tb927.11.3630"
"218","Tb927.11.3630"
"219","Tb927.11.3630"
"220","Tb927.11.3630"
"221","Tb927.11.4410"
"222","Tb927.11.4410"
"223","Tb927.11.4410"
