"","x"
"1","Tb927.2.2440"
"2","Tb927.2.3460"
"3","Tb927.5.3240"
"4","Tb927.5.3530"
"5","Tb927.5.3840"
"6","Tb927.7.1480"
"7","Tb927.7.2160"
"8","Tb927.7.4680"
"9","Tb927.7.4870"
"10","Tb927.7.5680"
"11","Tb927.8.890"
"12","Tb927.9.2030"
"13","Tb927.9.2220"
"14","Tb927.9.8180"
"15","Tb927.10.2490"
"16","Tb927.10.5330"
"17","Tb927.10.12680"
"18","Tb927.10.15850"
"19","Tb927.11.2680"
"20","Tb927.11.7480"
"21","Tb927.11.8070"
"22","Tb927.11.13130"
"23","Tb927.11.14270"
"24","Tb927.11.16450"
"25","Tb927.11.16460"
