"","x"
"1","Tb927.1.420"
"2","Tb927.1.730"
"3","Tb927.1.3390"
"4","Tb927.1.5170"
"5","Tb927.2.1120"
"6","Tb927.2.1170"
"7","Tb927.2.2440"
"8","Tb927.2.3750"
"9","Tb927.2.5000"
"10","Tb927.2.5350"
"11","Tb927.3.640"
"12","Tb927.3.1250"
"13","Tb927.3.1490"
"14","Tb927.3.4050"
"15","Tb927.3.4200"
"16","Tb927.3.5430"
"17","Tb927.4.320"
"18","Tb927.4.680"
"19","Tb927.4.990"
"20","Tb927.4.1440"
"21","Tb927.4.1580"
"22","Tb927.4.1830"
"23","Tb927.4.3110"
"24","Tb927.4.3670"
"25","Tb927.4.3960"
"26","Tb927.4.4330"
"27","Tb927.4.5200"
"28","Tb927.4.5440"
"29","Tb927.5.860"
"30","Tb927.5.1040"
"31","Tb927.5.1180"
"32","Tb927.5.1270"
"33","Tb927.5.1450"
"34","Tb927.5.2020"
"35","Tb927.5.2380"
"36","Tb927.5.3040"
"37","Tb927.5.3080"
"38","Tb927.5.4010"
"39","Tb927.6.670"
"40","Tb927.6.1490"
"41","Tb927.6.2780"
"42","Tb927.6.3100"
"43","Tb927.6.3210"
"44","Tb927.6.3470"
"45","Tb927.6.3580"
"46","Tb927.6.4350"
"47","Tb927.6.5170"
"48","Tb927.7.250"
"49","Tb927.7.2780"
"50","Tb927.7.3180"
"51","Tb927.7.4350"
"52","Tb927.7.4820"
"53","Tb927.7.4860"
"54","Tb927.7.5070"
"55","Tb927.7.5320"
"56","Tb927.7.5640"
"57","Tb927.7.5880"
"58","Tb927.7.6090"
"59","Tb927.7.6180"
"60","Tb927.7.6730"
"61","Tb927.7.7130"
"62","Tb927.8.680"
"63","Tb927.8.1220"
"64","Tb927.8.2500"
"65","Tb927.8.3050"
"66","Tb927.8.3850"
"67","Tb927.8.3920"
"68","Tb927.8.4650"
"69","Tb927.8.5380"
"70","Tb927.8.5520"
"71","Tb927.8.5690"
"72","Tb927.8.6300"
"73","Tb927.8.6780"
"74","Tb927.8.6820"
"75","Tb927.8.7070"
"76","Tb927.8.8290"
"77","Tb927.9.1290"
"78","Tb927.9.1670"
"79","Tb927.9.2890"
"80","Tb927.9.2990"
"81","Tb927.9.3580"
"82","Tb927.9.4910"
"83","Tb927.9.5190"
"84","Tb927.9.6740"
"85","Tb927.9.6750"
"86","Tb927.9.7260"
"87","Tb927.9.9730"
"88","Tb927.9.10000"
"89","Tb927.9.10070"
"90","Tb927.9.10830"
"91","Tb927.9.11040"
"92","Tb927.9.11220"
"93","Tb927.9.11700"
"94","Tb927.9.12980"
"95","Tb927.9.13130"
"96","Tb927.9.14000"
"97","Tb927.9.14400"
"98","Tb927.9.14620"
"99","Tb927.9.15240"
"100","Tb927.9.16130"
"101","Tb927.10.920"
"102","Tb927.10.1330"
"103","Tb927.10.1350"
"104","Tb927.10.2600"
"105","Tb927.10.2710"
"106","Tb927.10.3150"
"107","Tb927.10.4600"
"108","Tb927.10.4640"
"109","Tb927.10.4980"
"110","Tb927.10.5300"
"111","Tb927.10.5900"
"112","Tb927.10.6030"
"113","Tb927.10.6520"
"114","Tb927.10.7270"
"115","Tb927.10.7500"
"116","Tb927.10.7750"
"117","Tb927.10.8140"
"118","Tb927.10.9550"
"119","Tb927.10.9680"
"120","Tb927.10.10010"
"121","Tb927.10.10220"
"122","Tb927.10.10230"
"123","Tb927.10.10240"
"124","Tb927.10.10770"
"125","Tb927.10.11160"
"126","Tb927.10.11850"
"127","Tb927.10.12130"
"128","Tb927.10.12290"
"129","Tb927.10.12880"
"130","Tb927.10.13230"
"131","Tb927.10.13380"
"132","Tb927.10.13730"
"133","Tb927.10.14350"
"134","Tb927.10.14360"
"135","Tb927.10.15890"
"136","Tb927.10.15900"
"137","Tb927.10.16080"
"138","Tb927.11.420"
"139","Tb927.11.800"
"140","Tb927.11.1650"
"141","Tb927.11.2310"
"142","Tb927.11.3550"
"143","Tb927.11.4590"
"144","Tb927.11.5010"
"145","Tb927.11.5240"
"146","Tb927.11.5620"
"147","Tb927.11.5980"
"148","Tb927.11.6360"
"149","Tb927.11.6420"
"150","Tb927.11.6680"
"151","Tb927.11.7270"
"152","Tb11.02.5370"
"153","Tb927.11.7600"
"154","Tb927.11.8810"
"155","Tb927.11.20730"
"156","Tb927.11.9970"
"157","Tb927.11.11130"
"158","Tb927.11.11300"
"159","Tb927.11.11660"
"160","Tb927.11.12150"
"161","Tb927.11.13570"
"162","Tb927.11.13780"
"163","Tb927.11.15440"
"164","Tb927.11.15770"
"165","Tb927.11.15960"
"166","Tb927.11.16000"
