"","x"
"231","Tb927.10.1490"
"232","Tb927.10.1510"
"233","Tb927.10.1890"
"234","Tb927.10.1970"
"235","Tb927.10.2040"
"236","Tb927.10.2650"
"237","Tb927.10.2890"
"238","Tb927.10.2950"
"239","Tb927.10.3400"
"240","Tb927.10.3820"
"241","Tb927.10.3900"
"242","Tb927.10.4050"
"243","Tb927.10.4910"
"244","Tb927.10.5090"
"245","Tb927.10.5140"
"246","Tb927.10.5350"
"247","Tb927.10.5380"
"248","Tb927.10.5640"
"249","Tb927.10.5830"
"250","Tb927.10.5850"
"251","Tb927.10.6000"
"252","Tb927.10.6050"
"253","Tb927.10.6330"
"254","Tb927.10.6870"
"255","Tb927.10.6900"
"256","Tb927.10.6920"
"257","Tb927.10.7110"
"258","Tb927.10.7230"
"259","Tb927.10.7300"
"260","Tb927.10.7700"
"261","Tb927.10.8390"
"262","Tb927.10.8590"
"263","Tb927.10.8820"
"264","Tb927.10.8940"
"265","Tb927.10.9230"
"266","Tb927.10.9600"
"267","Tb927.10.9650"
"268","Tb927.10.9690"
"269","Tb927.10.9750"
"270","Tb927.10.9970"
"271","Tb927.10.10050"
"272","Tb927.10.10190"
"273","Tb927.10.10280"
"274","Tb927.10.11110"
"275","Tb927.10.11440"
"276","Tb927.10.11470"
"277","Tb927.10.11580"
"278","Tb927.10.11630"
"279","Tb927.10.11680"
"280","Tb927.10.12030"
"281","Tb927.10.12120"
"282","Tb927.10.12620"
"283","Tb927.10.12740"
"284","Tb927.10.13450"
"285","Tb927.10.13470"
"286","Tb927.10.14420"
"287","Tb927.10.14430"
"288","Tb927.10.14490"
"289","Tb927.10.14540"
"290","Tb927.10.14550"
"291","Tb927.10.14610"
"292","Tb927.10.14930"
"293","Tb927.10.14980"
"294","Tb927.10.14990"
"295","Tb927.10.15020"
"296","Tb927.10.15310"
"297","Tb927.10.15390"
"298","Tb927.10.15730"
"299","Tb927.10.15750"
"300","Tb927.10.15970"
"301","Tb927.11.760"
"302","Tb927.11.780"
"303","Tb927.11.1030"
"304","Tb927.11.1090"
"305","Tb927.11.1100"
"306","Tb927.11.1130"
"307","Tb927.11.1420"
"308","Tb927.11.2260"
"309","Tb927.11.2650"
"310","Tb927.11.2880"
"311","Tb927.11.3250"
"312","Tb927.11.3290"
"313","Tb927.11.3300"
"314","Tb927.11.3650"
"315","Tb927.11.3770"
"316","Tb927.11.3850"
"317","Tb927.11.4160"
"318","Tb927.11.4280"
"319","Tb927.11.4950"
"320","Tb927.11.5020"
"321","Tb927.11.5450"
"322","Tb927.11.5740"
"323","Tb927.11.6050"
"324","Tb927.11.6280"
"325","Tb927.11.6330"
"326","Tb927.11.7010"
"327","Tb927.11.7380"
"328","Tb927.11.7560"
"329","Tb927.11.8160"
"330","Tb927.11.8290"
"331","Tb927.11.8370"
"332","Tb927.11.8440"
"333","Tb927.11.8450"
"334","Tb927.11.9120"
"335","Tb927.11.9150"
"336","Tb927.11.10280"
"337","Tb927.11.10390"
"338","Tb927.11.11160"
"339","Tb927.11.11220"
"340","Tb927.11.11690"
"341","Tb927.11.11760"
"342","Tb927.11.12210"
"343","Tb927.11.12400"
"344","Tb927.11.12410"
"345","Tb927.11.12440"
"346","Tb927.11.12540"
"347","Tb927.11.12770"
"348","Tb927.11.12840"
"349","Tb927.11.13110"
"350","Tb927.11.13200"
"351","Tb927.11.13340"
"352","Tb927.11.13380"
"353","Tb927.11.14210"
"354","Tb927.11.14220"
"355","Tb927.11.14630"
"356","Tb927.11.14680"
"357","Tb927.11.14780"
"358","Tb927.11.14920"
"359","Tb927.11.15030"
"360","Tb927.11.15040"
"361","Tb927.11.15160"
"362","Tb927.11.15750"
"363","Tb927.11.15800"
"364","Tb927.11.16470"
"365","Tb927.11.16890"
"366","Tb927.11.17000"
