"","x"
"1","Tb927.1.120"
"2","Tb927.1.540"
"3","Tb927.1.790"
"4","Tb927.1.880"
"5","Tb927.1.1130"
"6","Tb927.1.1370"
"7","Tb927.1.1600"
"8","Tb927.1.1620"
"9","Tb927.1.2370"
"10","Tb927.1.2580"
"11","Tb927.1.2670"
"12","Tb927.1.3040"
"13","Tb927.1.3450"
"14","Tb927.1.4720"
"15","Tb927.2.280"
"16","Tb927.2.450"
"17","Tb927.2.470"
"18","Tb927.2.510"
"19","Tb927.2.1330"
"20","Tb927.2.1810"
"21","Tb927.2.2380"
"22","Tb927.2.2950"
"23","Tb927.2.2970"
"24","Tb927.2.3480"
"25","Tb927.2.3780"
"26","Tb927.2.4000"
"27","Tb927.2.4720"
"28","Tb927.2.4830"
"29","Tb927.2.5160"
"30","Tb927.2.5410"
"31","Tb927.3.620"
"32","Tb927.3.1350"
"33","Tb927.3.1380"
"34","Tb927.3.1880"
"35","Tb927.3.1920"
"36","Tb927.3.2090"
"37","Tb927.3.3110"
"38","Tb927.3.3260"
"39","Tb927.3.3510"
"40","Tb927.3.3850"
"41","Tb927.3.4060"
"42","Tb927.3.4430"
"43","Tb927.3.4570"
"44","Tb927.3.4600"
"45","Tb927.3.5340"
"46","Tb927.3.5750"
"47","Tb927.4.190"
"48","Tb927.4.470"
"49","Tb927.4.590"
"50","Tb927.4.720"
"51","Tb927.4.1300"
"52","Tb927.4.1340"
"53","Tb927.4.1570"
"54","Tb927.4.1630"
"55","Tb927.4.2000"
"56","Tb927.4.2040"
"57","Tb927.4.2310"
"58","Tb927.4.2400"
"59","Tb927.4.2630"
"60","Tb927.4.3030"
"61","Tb927.4.3370"
"62","Tb927.4.3410"
"63","Tb927.4.3590"
"64","Tb927.4.4180"
"65","Tb927.4.4340"
"66","Tb927.5.840"
"67","Tb927.5.1150"
"68","Tb927.5.1460"
"69","Tb927.5.1560"
"70","Tb927.5.1710"
"71","Tb927.5.1790"
"72","Tb927.5.2420"
"73","Tb927.5.2570"
"74","Tb927.5.2700"
"75","Tb927.5.2790"
"76","Tb927.5.2940"
"77","Tb927.5.3170"
"78","Tb927.5.3230"
"79","Tb927.5.3820"
"80","Tb927.5.3870"
"81","Tb927.6.570"
"82","Tb927.6.630"
"83","Tb927.6.700"
"84","Tb927.6.910"
"85","Tb927.6.1430"
"86","Tb927.6.1590"
"87","Tb927.6.1760"
"88","Tb927.6.1880"
"89","Tb927.6.2640"
"90","Tb927.6.3510"
"91","Tb927.6.3750"
"92","Tb927.6.4010"
"93","Tb927.6.4370"
"94","Tb927.7.640"
"95","Tb927.7.650"
"96","Tb927.7.700"
"97","Tb927.7.1510"
"98","Tb927.7.1600"
"99","Tb927.7.1910"
"100","Tb927.7.2170"
"101","Tb927.7.2390"
"102","Tb927.7.2500"
"103","Tb927.7.3290"
"104","Tb927.7.4060"
"105","Tb927.7.4220"
"106","Tb927.7.4290"
"107","Tb927.7.4340"
"108","Tb927.7.4520"
"109","Tb927.7.5160"
"110","Tb927.7.5540"
"111","Tb927.7.6360"
"112","Tb927.7.6890"
"113","Tb927.7.7050"
"114","Tb927.7.7180"
"115","Tb927.7.7440"
"116","Tb927.8.650"
"117","Tb927.8.820"
"118","Tb927.8.900"
"119","Tb927.8.1150"
"120","Tb927.8.1260"
"121","Tb927.8.2080"
"122","Tb927.8.2550"
"123","Tb927.8.2570"
"124","Tb927.8.2710"
"125","Tb927.8.2820"
"126","Tb927.8.2840"
"127","Tb927.8.3320"
"128","Tb927.8.3750"
"129","Tb927.8.3970"
"130","Tb927.8.4660"
"131","Tb927.8.4820"
"132","Tb927.8.4960"
"133","Tb927.8.5090"
"134","Tb927.8.5570"
"135","Tb927.8.5650"
"136","Tb927.8.6520"
"137","Tb927.8.7090"
"138","Tb927.8.7230"
"139","Tb927.8.7340"
"140","Tb927.9.1380"
"141","Tb927.9.2900"
"142","Tb927.9.4680"
"143","Tb927.9.4820"
"144","Tb927.9.5380"
"145","Tb927.9.5730"
"146","Tb927.9.6170"
"147","Tb927.9.6720"
"148","Tb927.9.8670"
"149","Tb927.9.8760"
"150","Tb927.9.9010"
"151","Tb927.9.9080"
"152","Tb927.9.9160"
"153","Tb927.9.9660"
"154","Tb927.9.10010"
"155","Tb927.9.10100"
"156","Tb927.9.10230"
"157","Tb927.9.10300"
"158","Tb927.9.10310"
"159","Tb927.9.10500"
"160","Tb927.9.10710"
"161","Tb927.9.11270"
"162","Tb927.9.11840"
"163","Tb927.9.13340"
"164","Tb927.9.13520"
"165","Tb927.9.14050"
"166","Tb927.9.15270"
"167","Tb927.10.710"
"168","Tb927.10.960"
"169","Tb927.10.1060"
"170","Tb927.10.1420"
"171","Tb927.10.1560"
"172","Tb927.10.1900"
"173","Tb927.10.2060"
"174","Tb927.10.2750"
"175","Tb927.10.2770"
"176","Tb927.10.3540"
"177","Tb927.10.3560"
"178","Tb927.10.3790"
"179","Tb927.10.4010"
"180","Tb927.10.4060"
"181","Tb927.10.4560"
"182","Tb927.10.4570"
"183","Tb927.10.4650"
"184","Tb927.10.5660"
"185","Tb927.10.5840"
"186","Tb927.10.5910"
"187","Tb927.10.5920"
"188","Tb927.10.6020"
"189","Tb927.10.6210"
"190","Tb927.10.6220"
"191","Tb927.10.6680"
"192","Tb927.10.7100"
"193","Tb927.10.7440"
"194","Tb927.10.7680"
"195","Tb927.10.8060"
"196","Tb927.10.8120"
"197","Tb927.10.9020"
"198","Tb927.10.9130"
"199","Tb927.10.9190"
"200","Tb927.10.9780"
"201","Tb927.10.10070"
"202","Tb927.10.10090"
"203","Tb927.10.10390"
"204","Tb927.10.10590"
"205","Tb927.10.11130"
"206","Tb927.10.11300"
"207","Tb927.10.11380"
"208","Tb927.10.12000"
"209","Tb927.10.12260"
"210","Tb927.10.12310"
"211","Tb927.10.12370"
"212","Tb927.10.12400"
"213","Tb927.10.13120"
"214","Tb927.10.13180"
"215","Tb927.10.13310"
"216","Tb927.10.13360"
"217","Tb927.10.13370"
"218","Tb927.10.13670"
"219","Tb927.10.14170"
"220","Tb927.10.14390"
"221","Tb927.10.14680"
"222","Tb927.10.14770"
"223","Tb927.10.14920"
"224","Tb927.10.15170"
"225","Tb927.10.15490"
"226","Tb927.10.15520"
"227","Tb927.10.15540"
"228","Tb927.10.16010"
"229","Tb927.10.16120"
"230","Tb927.11.460"
"231","Tb927.11.590"
"232","Tb927.11.630"
"233","Tb927.11.1560"
"234","Tb927.11.1790"
"235","Tb927.11.1980"
"236","Tb927.11.1990"
"237","Tb927.11.2100"
"238","Tb927.11.2120"
"239","Tb927.11.2420"
"240","Tb927.11.2670"
"241","Tb927.11.2950"
"242","Tb927.11.3030"
"243","Tb927.11.3130"
"244","Tb927.11.3430"
"245","Tb927.11.3480"
"246","Tb927.11.3730"
"247","Tb927.11.3830"
"248","Tb927.11.3840"
"249","Tb927.11.3890"
"250","Tb927.11.4230"
"251","Tb927.11.4390"
"252","Tb927.11.4710"
"253","Tb927.11.5060"
"254","Tb927.11.5110"
"255","Tb927.11.5250"
"256","Tb927.11.5280"
"257","Tb927.11.5600"
"258","Tb927.11.5990"
"259","Tb927.11.6160"
"260","Tb927.11.6590"
"261","Tb927.11.6670"
"262","Tb927.11.6750"
"263","Tb927.11.6870"
"264","Tb927.11.7350"
"265","Tb927.11.7450"
"266","Tb11.02.5400"
"267","Tb927.11.7780"
"268","Tb927.11.7840"
"269","Tb927.11.8270"
"270","Tb927.11.8720"
"271","Tb927.11.9080"
"272","Tb927.11.9220"
"273","Tb927.11.10240"
"274","Tb927.11.10480"
"275","Tb927.11.10990"
"276","Tb927.11.11290"
"277","Tb927.11.11460"
"278","Tb927.11.11520"
"279","Tb927.11.11570"
"280","Tb927.11.12190"
