"","x"
"230","Tb927.10.3770"
"231","Tb927.10.3770"
"232","Tb927.10.3770"
"233","Tb927.10.3790"
"234","Tb927.10.3790"
"235","Tb927.10.3790"
"236","Tb927.10.3790"
"237","Tb927.10.3950"
"238","Tb927.10.3950"
"239","Tb927.10.3950"
"240","Tb927.10.3950"
"241","Tb927.10.4330"
"242","Tb927.10.4330"
"243","Tb927.10.4330"
"244","Tb927.10.4330"
"245","Tb927.10.4640"
"246","Tb927.10.4640"
"247","Tb927.10.4640"
"248","Tb927.10.4640"
"249","Tb927.10.5660"
"250","Tb927.10.5660"
"251","Tb927.10.5660"
"252","Tb927.10.5660"
"253","Tb927.10.5670"
"254","Tb927.10.5670"
"255","Tb927.10.5670"
"256","Tb927.10.5670"
"257","Tb927.10.5920"
"258","Tb927.10.5920"
"259","Tb927.10.5920"
"260","Tb927.10.5920"
"261","Tb927.10.6220"
"262","Tb927.10.6220"
"263","Tb927.10.6220"
"264","Tb927.10.6220"
"265","Tb927.10.6260"
"266","Tb927.10.6260"
"267","Tb927.10.6260"
"268","Tb927.10.6260"
"269","Tb927.10.6320"
"270","Tb927.10.6320"
"271","Tb927.10.6320"
"272","Tb927.10.6320"
"273","Tb927.10.6530"
"274","Tb927.10.6530"
"275","Tb927.10.6530"
"276","Tb927.10.6530"
"277","Tb927.10.6630"
"278","Tb927.10.6630"
"279","Tb927.10.6630"
"280","Tb927.10.6630"
"281","Tb927.10.6680"
"282","Tb927.10.6680"
"283","Tb927.10.6680"
"284","Tb927.10.6680"
"285","Tb927.10.7050"
"286","Tb927.10.7050"
"287","Tb927.10.7050"
"288","Tb927.10.7050"
"289","Tb927.10.7500"
"290","Tb927.10.7500"
"291","Tb927.10.7500"
"292","Tb927.10.7500"
"293","Tb927.10.7710"
"294","Tb927.10.7710"
"295","Tb927.10.7710"
"296","Tb927.10.7710"
"297","Tb927.10.7810"
"298","Tb927.10.7810"
"299","Tb927.10.7810"
"300","Tb927.10.7810"
"301","Tb927.10.8190"
"302","Tb927.10.8190"
"303","Tb927.10.8190"
"304","Tb927.10.8190"
"305","Tb927.10.880"
"306","Tb927.10.880"
"307","Tb927.10.880"
"308","Tb927.10.880"
"309","Tb927.10.8980"
"310","Tb927.10.8980"
"311","Tb927.10.8980"
"312","Tb927.10.8980"
"313","Tb927.10.9020"
"314","Tb927.10.9020"
"315","Tb927.10.9020"
"316","Tb927.10.9020"
"317","Tb927.10.9130"
"318","Tb927.10.9130"
"319","Tb927.10.9130"
"320","Tb927.10.9130"
"321","Tb927.10.9200"
"322","Tb927.10.9200"
"323","Tb927.10.9200"
"324","Tb927.10.9200"
"325","Tb927.10.9780"
"326","Tb927.10.9780"
"327","Tb927.10.9780"
"328","Tb927.10.9780"
"329","Tb927.11.10050"
"330","Tb927.11.10050"
"331","Tb927.11.10050"
"332","Tb927.11.10050"
"333","Tb927.11.10420"
"334","Tb927.11.10420"
"335","Tb927.11.10420"
"336","Tb927.11.10420"
"337","Tb927.11.10480"
"338","Tb927.11.10480"
"339","Tb927.11.10480"
"340","Tb927.11.10480"
"341","Tb927.11.11330"
"342","Tb927.11.11330"
"343","Tb927.11.11330"
"344","Tb927.11.11330"
"345","Tb927.11.11380"
"346","Tb927.11.11380"
"347","Tb927.11.11380"
"348","Tb927.11.11380"
"349","Tb927.11.1260"
"350","Tb927.11.1260"
"351","Tb927.11.1260"
"352","Tb927.11.1260"
"353","Tb927.11.12760"
"354","Tb927.11.12760"
"355","Tb927.11.12760"
"356","Tb927.11.12760"
"357","Tb927.11.13310"
"358","Tb927.11.13310"
"359","Tb927.11.13310"
"360","Tb927.11.13310"
"361","Tb927.11.13930"
"362","Tb927.11.13930"
"363","Tb927.11.13930"
"364","Tb927.11.13930"
"365","Tb927.11.14250"
"366","Tb927.11.14250"
"367","Tb927.11.14250"
"368","Tb927.11.14250"
"369","Tb927.11.14310"
"370","Tb927.11.14310"
"371","Tb927.11.14310"
"372","Tb927.11.14310"
"373","Tb927.11.14700"
"374","Tb927.11.14700"
"375","Tb927.11.14700"
"376","Tb927.11.14700"
"377","Tb927.11.14710"
"378","Tb927.11.14710"
"379","Tb927.11.14710"
"380","Tb927.11.14710"
"381","Tb927.11.14830"
"382","Tb927.11.14830"
"383","Tb927.11.14830"
"384","Tb927.11.14830"
"385","Tb927.11.14950"
"386","Tb927.11.14950"
"387","Tb927.11.14950"
"388","Tb927.11.14950"
"389","Tb927.11.15370"
"390","Tb927.11.15370"
"391","Tb927.11.15370"
"392","Tb927.11.15370"
"393","Tb927.11.15420"
"394","Tb927.11.15420"
"395","Tb927.11.15420"
"396","Tb927.11.15420"
"397","Tb927.11.15430"
"398","Tb927.11.15430"
"399","Tb927.11.15430"
"400","Tb927.11.15430"
"401","Tb927.11.15460"
"402","Tb927.11.15460"
"403","Tb927.11.15460"
"404","Tb927.11.15460"
"405","Tb927.11.15630"
"406","Tb927.11.15630"
"407","Tb927.11.15630"
"408","Tb927.11.15630"
"409","Tb927.11.15830"
"410","Tb927.11.15830"
"411","Tb927.11.15830"
"412","Tb927.11.15830"
