"","x"
"230","Tb927.9.15050"
"231","Tb927.10.320"
"232","Tb927.10.370"
"233","Tb927.10.650"
"234","Tb927.10.700"
"235","Tb927.10.790"
"236","Tb927.10.1460"
"237","Tb927.10.1640"
"238","Tb927.10.1700"
"239","Tb927.10.1710"
"240","Tb927.10.1980"
"241","Tb927.10.2120"
"242","Tb927.10.3040"
"243","Tb927.10.3480"
"244","Tb927.10.3590"
"245","Tb927.10.4130"
"246","Tb927.10.4400"
"247","Tb927.10.4490"
"248","Tb927.10.4610"
"249","Tb927.10.4920"
"250","Tb927.10.5230"
"251","Tb927.10.5580"
"252","Tb927.10.5860"
"253","Tb927.10.5990"
"254","Tb927.10.6350"
"255","Tb927.10.6390"
"256","Tb927.10.6440"
"257","Tb927.10.6470"
"258","Tb927.10.6480"
"259","Tb927.10.6660"
"260","Tb927.10.6810"
"261","Tb927.10.6820"
"262","Tb927.10.6980"
"263","Tb927.10.6990"
"264","Tb927.10.7320"
"265","Tb927.10.7480"
"266","Tb927.10.7600"
"267","Tb927.10.7630"
"268","Tb927.10.7890"
"269","Tb927.10.7970"
"270","Tb927.10.8300"
"271","Tb927.10.8360"
"272","Tb927.10.8620"
"273","Tb927.10.8850"
"274","Tb927.10.8880"
"275","Tb927.10.8920"
"276","Tb927.10.9040"
"277","Tb927.10.9100"
"278","Tb927.10.9150"
"279","Tb927.10.9260"
"280","Tb927.10.9280"
"281","Tb927.10.9340"
"282","Tb927.10.9360"
"283","Tb927.10.9380"
"284","Tb927.10.9410"
"285","Tb927.10.10020"
"286","Tb927.10.10330"
"287","Tb927.10.10630"
"288","Tb927.10.10650"
"289","Tb927.10.11320"
"290","Tb927.10.11650"
"291","Tb927.10.12210"
"292","Tb927.10.12240"
"293","Tb927.10.12770"
"294","Tb927.10.12970"
"295","Tb927.10.13390"
"296","Tb927.10.13480"
"297","Tb927.10.13530"
"298","Tb927.10.13690"
"299","Tb927.10.13870"
"300","Tb927.10.13930"
"301","Tb927.10.14020"
"302","Tb927.10.14120"
"303","Tb927.10.14130"
"304","Tb927.10.14370"
"305","Tb927.10.14910"
"306","Tb927.10.15000"
"307","Tb927.10.15410"
"308","Tb927.10.15450"
"309","Tb927.10.15460"
"310","Tb927.10.15480"
"311","Tb927.10.15880"
"312","Tb927.10.15930"
"313","Tb927.10.16090"
"314","Tb927.10.16150"
"315","Tb927.11.490"
"316","Tb927.11.830"
"317","Tb927.11.1310"
"318","Tb927.11.1330"
"319","Tb927.11.1470"
"320","Tb927.11.1770"
"321","Tb927.11.1830"
"322","Tb927.11.2110"
"323","Tb927.11.2350"
"324","Tb927.11.2750"
"325","Tb927.11.3140"
"326","Tb927.11.3150"
"327","Tb927.11.3200"
"328","Tb927.11.3460"
"329","Tb927.11.3870"
"330","Tb927.11.3880"
"331","Tb927.11.3920"
"332","Tb927.11.4020"
"333","Tb927.11.4350"
"334","Tb927.11.4740"
"335","Tb927.11.4760"
"336","Tb927.11.4800"
"337","Tb927.11.4830"
"338","Tb927.11.5080"
"339","Tb927.11.5180"
"340","Tb927.11.5670"
"341","Tb927.11.5710"
"342","Tb927.11.5830"
"343","Tb927.11.5860"
"344","Tb927.11.6040"
"345","Tb927.11.6710"
"346","Tb927.11.6840"
"347","Tb927.11.7160"
"348","Tb927.11.7200"
"349","Tb927.11.7213"
"350","Tb927.11.7320"
"351","Tb927.11.7390"
"352","Tb927.11.7440"
"353","Tb927.11.7750"
"354","Tb927.11.7830"
"355","Tb927.11.7850"
"356","Tb927.11.7920"
"357","Tb927.11.7940"
"358","Tb927.11.8000"
"359","Tb927.11.8010"
"360","Tb927.11.8250"
"361","Tb927.11.8350"
"362","Tb927.11.8410"
"363","Tb927.11.8420"
"364","Tb927.11.8430"
"365","Tb927.11.9020"
"366","Tb927.11.9830"
"367","Tb927.11.10110"
"368","Tb927.11.10230"
"369","Tb927.11.10250"
"370","Tb927.11.10490"
"371","Tb927.11.10620"
"372","Tb927.11.10720"
"373","Tb927.11.10750"
"374","Tb927.11.10900"
"375","Tb927.11.10980"
"376","Tb927.11.11120"
"377","Tb927.11.11210"
"378","Tb927.11.11540"
"379","Tb927.11.12050"
"380","Tb927.11.12290"
"381","Tb927.11.12610"
"382","Tb927.11.12630"
"383","Tb927.11.12640"
"384","Tb927.11.12730"
"385","Tb927.11.13260.2"
"386","Tb927.11.13610"
"387","Tb927.11.13750"
"388","Tb927.11.13770"
"389","Tb927.11.13820"
"390","Tb927.11.13830"
"391","Tb927.11.13840"
"392","Tb927.11.14060"
"393","Tb927.11.14440"
"394","Tb927.11.14670"
"395","Tb927.11.14970"
"396","Tb927.11.15580"
"397","Tb927.11.15810"
"398","Tb927.11.16200"
"399","Tb927.11.16210"
"400","Tb927.11.16230"
"401","Tb927.11.16410"
