ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005777	peroxisome	170	24	Tb927.1.3830,Tb927.1.4490,Tb927.1.700,Tb927.10.15410,Tb927.10.2540,Tb927.10.5760,Tb927.11.1020,Tb927.11.6280,Tb927.11.900,Tb927.2.4210,Tb927.3.2960,Tb927.3.4500,Tb927.3.4650,Tb927.4.1360,Tb927.5.930,Tb927.6.2540,Tb927.7.1130,Tb927.7.1140,Tb927.7.1790,Tb927.7.4570,Tb927.8.6170,Tb927.9.11600,Tb927.9.11640,Tb927.9.6290,	14.1	2.5	2.84	2.75969444618e-05	0.000529359571039	0.00582295528143
GO:0031975	envelope	385	40	Tb927.1.4100,Tb927.10.12010,Tb927.10.15320,Tb927.10.15600,Tb927.10.1570,Tb927.10.300,Tb927.10.3040,Tb927.10.4040,Tb927.10.4280,Tb927.10.7090,Tb927.10.7100,Tb927.11.15530,Tb927.11.2750,Tb927.11.5720,Tb927.11.6210,Tb927.11.8800,Tb927.11.8990,Tb927.11.9000,Tb927.11.9030,Tb927.2.2510,Tb927.2.2970,Tb927.2.5530,Tb927.5.1310,Tb927.5.1710,Tb927.6.2540,Tb927.6.4320,Tb927.7.6110,Tb927.8.1890,Tb927.8.2070,Tb927.8.4060,Tb927.8.7280,Tb927.8.7430,Tb927.8.7600,Tb927.9.12500,Tb927.9.14160,Tb927.9.2320,Tb927.9.6310,Tb927.9.7470,Tb927.9.7830,Tb927.9.8570,	10.4	1.84	2.03	0.000120950633054	0.00196312181341	0.0255205835744
GO:0031967	organelle envelope	385	40	Tb927.1.4100,Tb927.10.12010,Tb927.10.15320,Tb927.10.15600,Tb927.10.1570,Tb927.10.300,Tb927.10.3040,Tb927.10.4040,Tb927.10.4280,Tb927.10.7090,Tb927.10.7100,Tb927.11.15530,Tb927.11.2750,Tb927.11.5720,Tb927.11.6210,Tb927.11.8800,Tb927.11.8990,Tb927.11.9000,Tb927.11.9030,Tb927.2.2510,Tb927.2.2970,Tb927.2.5530,Tb927.5.1310,Tb927.5.1710,Tb927.6.2540,Tb927.6.4320,Tb927.7.6110,Tb927.8.1890,Tb927.8.2070,Tb927.8.4060,Tb927.8.7280,Tb927.8.7430,Tb927.8.7600,Tb927.9.12500,Tb927.9.14160,Tb927.9.2320,Tb927.9.6310,Tb927.9.7470,Tb927.9.7830,Tb927.9.8570,	10.4	1.84	2.03	0.000120950633054	0.00196312181341	0.0255205835744
GO:0005783	endoplasmic reticulum	249	29	Tb927.10.10110,Tb927.10.10770,Tb927.10.12010,Tb927.10.15600,Tb927.10.4040,Tb927.10.7100,Tb927.11.12620,Tb927.11.13230,Tb927.11.15530,Tb927.11.15960,Tb927.11.16430,Tb927.11.16740,Tb927.11.6210,Tb927.11.7410,Tb927.11.8990,Tb927.11.9000,Tb927.11.9030,Tb927.3.4650,Tb927.6.4320,Tb927.7.6110,Tb927.8.2770,Tb927.8.4060,Tb927.8.7280,Tb927.8.7600,Tb927.8.7650,Tb927.8.7740,Tb927.8.8030,Tb927.8.920,Tb927.9.7470,	11.6	2.06	2.28	0.000155045653437	0.00233675949109	0.0327146328753
GO:0012505	endomembrane system	371	38	Tb927.10.10110,Tb927.10.10770,Tb927.10.12010,Tb927.10.13930,Tb927.10.14760,Tb927.10.15320,Tb927.10.15600,Tb927.10.4040,Tb927.10.7100,Tb927.11.12620,Tb927.11.13230,Tb927.11.15530,Tb927.11.15960,Tb927.11.16430,Tb927.11.16740,Tb927.11.5720,Tb927.11.6210,Tb927.11.7410,Tb927.11.8990,Tb927.11.9000,Tb927.11.9030,Tb927.3.4650,Tb927.6.4320,Tb927.7.4270,Tb927.7.6110,Tb927.7.6570,Tb927.8.2770,Tb927.8.4060,Tb927.8.7280,Tb927.8.7600,Tb927.8.7650,Tb927.8.7740,Tb927.8.8030,Tb927.8.920,Tb927.9.11480,Tb927.9.6310,Tb927.9.7470,Tb927.9.8570,	10.2	1.81	1.99	0.000240343982319	0.00338083868462	0.0507125802692
GO:0031090	organelle membrane	317	33	Tb927.1.2230,Tb927.1.2260,Tb927.1.4100,Tb927.10.14760,Tb927.10.1570,Tb927.10.300,Tb927.10.3040,Tb927.10.4280,Tb927.10.7090,Tb927.10.7140,Tb927.11.1830,Tb927.11.2410,Tb927.11.2750,Tb927.11.7480,Tb927.11.8800,Tb927.11.8990,Tb927.2.2510,Tb927.2.2970,Tb927.2.5530,Tb927.5.1310,Tb927.5.1710,Tb927.5.440,Tb927.6.2540,Tb927.7.4270,Tb927.8.1890,Tb927.8.2070,Tb927.8.7430,Tb927.8.7600,Tb927.9.11600,Tb927.9.12500,Tb927.9.14160,Tb927.9.2320,Tb927.9.7830,	10.4	1.84	2.01	0.000461781235723	0.0060897400461	0.0974358407376
GO:0070069	cytochrome complex	8	4	Tb927.1.4100,Tb927.10.4280,Tb927.8.7430,Tb927.9.14160,	50.0	8.84	16.82	0.000588984544206	0.00731033757808	0.124275738827
GO:0045275	respiratory chain complex III	4	3	Tb927.10.4280,Tb927.8.7430,Tb927.9.14160,	75.0	13.26	50.38	0.00068888302403	0.0080752398928	0.14535431807
GO:0044459	plasma membrane part	74	12	Tb927.1.2230,Tb927.1.2260,Tb927.10.14760,Tb927.11.1830,Tb927.11.2410,Tb927.11.3610,Tb927.11.3620,Tb927.5.440,Tb927.7.4270,Tb927.8.2070,Tb927.8.2160,Tb927.9.6310,	16.2	2.87	3.29	0.0008222740744	0.00913156998413	0.173499829698
GO:0035328	transcriptionally silent chromatin	5	3	Tb927.11.1790,Tb927.11.1800,Tb927.11.1880,	60.0	10.61	25.18	0.0016498239582	0.017405642759	0.34811285518
