"","x"
"1","Tb927.4.370"
"2","Tb927.4.2770"
"3","Tb927.6.3290"
"4","Tb927.6.4420"
"5","Tb927.7.5780"
"6","Tb927.8.2930"
"7","Tb927.8.5320"
"8","Tb927.8.6710"
"9","Tb927.8.6740"
"10","Tb927.9.3170"
"11","Tb927.9.10520"
"12","Tb927.10.3380"
"13","Tb927.11.7790"
"14","Tb927.11.12730"
"15","Tb927.11.15670"
"16","Tb927.1.230"
"17","Tb927.1.680"
"18","Tb927.1.890"
"19","Tb927.1.1000"
"20","Tb927.1.1020"
"21","Tb927.1.1100"
"22","Tb927.1.1720"
"23","Tb927.1.2150"
"24","Tb927.1.2170"
"25","Tb927.1.2970"
"26","Tb927.2.1890"
"27","Tb927.2.2550"
"28","Tb927.2.5120"
"29","Tb927.3.840"
"30","Tb927.3.850"
"31","Tb927.3.890"
"32","Tb927.3.1410"
"33","Tb927.3.2080"
"34","Tb927.3.2240"
"35","Tb927.3.3160"
"36","Tb927.3.3470"
"37","Tb927.3.4180"
"38","Tb927.3.4910"
"39","Tb927.3.5210"
"40","Tb927.3.5550"
"41","Tb927.4.440"
"42","Tb927.4.1170"
"43","Tb927.4.1180"
"44","Tb927.4.1260"
"45","Tb927.4.2420"
"46","Tb927.4.2890"
"47","Tb927.4.3090"
"48","Tb927.4.3730"
"49","Tb927.4.4610"
"50","Tb927.4.5390"
"51","Tb927.5.140"
"52","Tb927.5.291b"
"53","Tb927.5.292b"
"54","Tb927.5.610"
"55","Tb927.5.660"
"56","Tb927.5.710"
"57","Tb927.5.750"
"58","Tb927.5.1360"
"59","Tb927.5.1630"
"60","Tb927.5.1840"
"61","Tb927.5.2550"
"62","Tb927.5.2590"
"63","Tb927.5.2960"
"64","Tb927.5.3140"
"65","Tb927.5.4160"
"66","Tb927.6.360"
"67","Tb927.6.370"
"68","Tb927.6.1230"
"69","Tb927.6.1740"
"70","Tb927.6.2040"
"71","Tb927.6.2590"
"72","Tb927.6.2600"
"73","Tb927.6.2830"
"74","Tb927.6.3230"
"75","Tb927.6.3270"
"76","Tb927.6.3420"
"77","Tb927.6.3530"
"78","Tb927.6.3860"
"79","Tb927.6.3950"
"80","Tb927.6.3980"
"81","Tb927.6.4130"
"82","Tb927.6.4270"
"83","Tb927.6.4490"
"84","Tb927.6.5030"
"85","Tb927.7.950"
"86","Tb927.7.1690"
"87","Tb927.7.1760"
"88","Tb927.7.1800"
"89","Tb927.7.2610"
"90","Tb927.7.2710"
"91","Tb927.7.2730"
"92","Tb927.7.2750"
"93","Tb927.7.4030"
