"","x"
"1","Tb927.4.1300"
"2","Tb927.7.1460"
"3","Tb927.7.3650"
"4","Tb927.7.7480"
"5","Tb927.10.8820"
"6","Tb927.10.11450"
"7","Tb927.10.13560"
"8","Tb927.11.2610"
"9","Tb927.11.9530"
"10","Tb927.11.14560"
"11","Tb927.11.15530"
"12","Tb927.11.16920"
"13","Tb927.1.880"
"14","Tb927.1.1270"
"15","Tb927.1.1600"
"16","Tb927.1.2570"
"17","Tb927.1.3200"
"18","Tb927.1.3450"
"19","Tb927.2.100"
"20","Tb927.2.280"
"21","Tb927.2.340"
"22","Tb927.2.470"
"23","Tb927.2.1050"
"24","Tb927.2.1810"
"25","Tb927.2.4390"
"26","Tb927.2.4830"
"27","Tb927.2.4950"
"28","Tb927.2.5410"
"29","Tb927.3.1290"
"30","Tb927.3.1920"
"31","Tb927.3.2090"
"32","Tb927.3.2230"
"33","Tb927.3.3230"
"34","Tb927.3.3850"
"35","Tb927.3.4600"
"36","Tb927.3.4620"
"37","Tb927.4.190"
"38","Tb927.4.260"
"39","Tb927.4.1560"
"40","Tb927.4.2200"
"41","Tb927.4.2720"
"42","Tb927.4.3410"
"43","Tb927.4.3590"
"44","Tb927.4.3810"
"45","Tb927.4.4550"
"46","Tb927.5.780"
"47","Tb927.5.850"
"48","Tb927.5.890"
"49","Tb927.5.1000"
"50","Tb927.5.1790"
"51","Tb927.5.2030"
"52","Tb927.5.3210"
"53","Tb927.5.3230"
"54","Tb927.5.3450"
"55","Tb927.5.3870"
"56","Tb927.5.3930"
"57","Tb927.6.570"
"58","Tb927.6.700"
"59","Tb927.6.1500"
"60","Tb927.6.4090"
"61","Tb927.6.4480"
"62","Tb927.6.4650"
"63","Tb927.6.4740"
"64","Tb927.7.710"
"65","Tb927.7.1340"
"66","Tb927.7.1910"
"67","Tb927.7.2080"
"68","Tb927.7.2100"
"69","Tb927.7.2240"
"70","Tb927.7.2640"
"71","Tb927.7.3620"
"72","Tb927.7.4520"
"73","Tb927.7.5110"
"74","Tb927.7.6390"
"75","Tb927.7.6620"
"76","Tb927.7.6670"
"77","Tb927.7.6890"
"78","Tb927.7.7200"
"79","Tb927.8.820"
"80","Tb927.8.1250"
"81","Tb927.8.1740"
"82","Tb927.8.1860"
"83","Tb927.8.4250"
"84","Tb927.8.5240"
"85","Tb927.8.5630"
"86","Tb927.8.6170"
"87","Tb927.8.6200"
"88","Tb927.8.6220"
"89","Tb927.8.6520"
"90","Tb927.8.6590"
"91","Tb927.8.7510"
"92","Tb927.8.7520"
"93","Tb927.9.1530"
"94","Tb927.9.2320"
"95","Tb927.9.4230"
"96","Tb927.9.4680"
"97","Tb927.9.6430"
"98","Tb927.9.7210"
"99","Tb927.9.8410"
"100","Tb927.9.10100"
"101","Tb927.9.10230"
"102","Tb927.9.12780"
"103","Tb927.9.13320"
"104","Tb927.9.13380"
"105","Tb927.9.14260"
"106","Tb927.10.1080"
"107","Tb927.10.1310"
"108","Tb927.10.1550"
"109","Tb927.10.2530"
"110","Tb927.10.3210"
"111","Tb927.10.3570"
"112","Tb927.10.3790"
"113","Tb927.10.4060"
"114","Tb927.10.5660"
"115","Tb927.10.5770"
"116","Tb927.10.5840"
"117","Tb927.10.5910"
"118","Tb927.10.6400"
"119","Tb927.10.7100"
"120","Tb927.10.7380"
"121","Tb927.10.7410"
"122","Tb927.10.8060"
"123","Tb927.10.8120"
"124","Tb927.10.10090"
"125","Tb927.10.10170"
"126","Tb927.10.10200"
"127","Tb927.10.11340"
"128","Tb927.10.11480"
"129","Tb927.10.11700"
"130","Tb927.10.12500"
"131","Tb927.10.12510"
"132","Tb927.10.12890"
"133","Tb927.10.13120"
"134","Tb927.10.13220"
"135","Tb927.10.13280"
"136","Tb927.10.13360"
"137","Tb927.10.14380"
"138","Tb927.10.15430"
"139","Tb927.10.15760"
"140","Tb927.10.16120"
"141","Tb927.11.630"
"142","Tb927.11.880"
"143","Tb927.11.980"
"144","Tb927.11.1700"
"145","Tb927.11.1980"
"146","Tb927.11.2370"
"147","Tb927.11.2670"
"148","Tb927.11.2950"
"149","Tb927.11.3130"
"150","Tb927.11.3430"
"151","Tb927.11.3490"
"152","Tb927.11.3780"
"153","Tb927.11.4180"
"154","Tb927.11.4490"
"155","Tb927.11.4700"
"156","Tb927.11.5000"
"157","Tb927.11.5110"
"158","Tb927.11.6160"
"159","Tb927.11.6440"
"160","Tb927.11.6870"
"161","Tb927.11.7780"
"162","Tb927.11.8120"
"163","Tb927.11.8300"
"164","Tb927.11.8720"
"165","Tb927.11.9220"
"166","Tb927.11.9590"
"167","Tb927.11.10090"
"168","Tb927.11.10370"
"169","Tb927.11.10710"
"170","Tb927.11.11290"
"171","Tb927.11.11550"
"172","Tb927.11.11680"
"173","Tb927.11.11780"
"174","Tb927.11.11920"
"175","Tb927.11.11950"
"176","Tb927.11.12180"
"177","Tb927.11.12190"
"178","Tb927.11.12850"
"179","Tb927.11.13520"
"180","Tb927.11.14120"
"181","Tb927.11.14300"
"182","Tb927.11.14370"
"183","Tb927.11.15430"
"184","Tb927.11.15910"
"185","Tb927.11.16730"
