"","x"
"1","Tb927.1.4310"
"2","Tb927.2.2720"
"3","Tb927.2.3390"
"4","Tb927.2.5760"
"5","Tb927.3.4230"
"6","Tb927.4.770"
"7","Tb927.4.4740"
"8","Tb927.5.3290"
"9","Tb927.5.4560"
"10","Tb927.7.5340"
"11","Tb927.7.5390"
"12","Tb927.7.6680"
"13","Tb927.7.7040"
"14","Tb927.8.3350"
"15","Tb927.8.6500"
"16","Tb927.8.8330"
"17","Tb927.9.4080"
"18","Tb927.10.11110"
"19","Tb927.10.11470"
"20","Tb927.11.15160"
"21","Tb927.1.1670"
"22","Tb927.1.2590"
"23","Tb927.1.3270"
"24","Tb927.1.4050"
"25","Tb927.1.4180"
"26","Tb927.1.4420"
"27","Tb927.2.2260"
"28","Tb927.2.2340"
"29","Tb927.2.3930"
"30","Tb927.2.4230"
"31","Tb927.2.4400"
"32","Tb927.2.4520"
"33","Tb927.2.4780"
"34","Tb927.3.930"
"35","Tb927.3.1190"
"36","Tb927.3.2020"
"37","Tb927.3.3550"
"38","Tb927.3.3860"
"39","Tb927.3.4960"
"40","Tb927.4.310"
"41","Tb927.4.1510"
"42","Tb927.4.2600"
"43","Tb927.4.2920"
"44","Tb927.4.3020"
"45","Tb927.4.4510"
"46","Tb927.5.520"
"47","Tb927.5.570"
"48","Tb927.5.910"
"49","Tb927.5.1090"
"50","Tb927.5.1760"
"51","Tb927.5.3330"
"52","Tb927.6.410"
"53","Tb927.6.620"
"54","Tb927.6.890"
"55","Tb927.6.2520"
"56","Tb927.6.3150"
"57","Tb927.6.4720"
"58","Tb927.6.5080"
"59","Tb927.7.920"
"60","Tb927.7.990"
"61","Tb927.7.2120"
"62","Tb927.7.3160"
"63","Tb927.7.4020"
"64","Tb927.7.5790"
"65","Tb927.7.6640"
"66","Tb927.7.7000"
"67","Tb927.8.510"
"68","Tb927.8.520"
"69","Tb927.8.1050"
"70","Tb927.8.1480"
"71","Tb927.8.1590"
"72","Tb927.8.1840"
"73","Tb927.8.2770"
"74","Tb927.8.3250"
"75","Tb927.8.3410"
"76","Tb927.8.3650"
"77","Tb927.8.4780"
"78","Tb927.8.7400"
"79","Tb927.8.7950"
"80","Tb927.9.1750"
"81","Tb927.9.3650"
"82","Tb927.9.4310"
"83","Tb927.9.4640"
"84","Tb927.9.5700"
"85","Tb927.9.6560"
"86","Tb927.9.7690"
"87","Tb927.9.10450"
"88","Tb927.10.850"
"89","Tb927.10.1170"
"90","Tb927.10.1970"
"91","Tb927.10.3920"
"92","Tb927.10.4910"
"93","Tb927.10.5350"
"94","Tb927.10.5380"
"95","Tb927.10.5850"
"96","Tb927.10.6050"
"97","Tb927.10.6900"
"98","Tb927.10.7230"
"99","Tb927.10.8390"
"100","Tb927.10.8590"
"101","Tb927.10.9750"
"102","Tb927.10.11580"
"103","Tb927.10.11630"
"104","Tb927.10.12620"
"105","Tb927.10.14610"
"106","Tb927.10.14980"
"107","Tb927.10.15400"
"108","Tb927.10.15750"
"109","Tb927.11.1090"
"110","Tb927.11.1100"
"111","Tb927.11.1130"
"112","Tb927.11.3300"
"113","Tb927.11.3390"
"114","Tb927.11.4160"
"115","Tb927.11.4210"
"116","Tb927.11.4280"
"117","Tb927.11.4380"
"118","Tb927.11.5020"
"119","Tb927.11.7010"
"120","Tb927.11.7380"
"121","Tb927.11.8150"
"122","Tb927.11.8160"
"123","Tb927.11.8370"
"124","Tb927.11.9150"
"125","Tb927.11.10730"
"126","Tb927.11.11220"
"127","Tb927.11.11690"
"128","Tb927.11.12400"
"129","Tb927.11.12770"
"130","Tb927.11.12840"
"131","Tb927.11.14630"
"132","Tb927.11.14920"
"133","Tb927.11.15750"
"134","Tb927.11.16890"
"135","Tb927.4.4430"
"136","Tb927.7.1570"
"137","Tb927.7.1670"
"138","Tb927.8.4200"
"139","Tb927.11.5740"
"140","Tb11.02.5420"
